37363+1.5783e+05i,6.3667e+05+15307i,-2.2867e+05-23574i,-45796-91644i,1.4061e+05-27776i
42049+1.6199e+05i,6.5116e+05+15702i,-2.3361e+05-25403i,-45903-93007i,1.4407e+05-27754i
46726+1.6619e+05i,6.6593e+05+16096i,-2.3869e+05-27205i,-46054-94445i,1.4763e+05-27720i
51370+1.7035e+05i,6.8076e+05+16486i,-2.4384e+05-28968i,-46240-95926i,1.5126e+05-27662i
55958+1.7441e+05i,6.9546e+05+16872i,-2.4901e+05-30679i,-46450-97423i,1.5492e+05-27572i
60469+1.783e+05i,7.098e+05+17251i,-2.5412e+05-32328i,-46673-98907i,1.5858e+05-27438i
64880+1.8195e+05i,7.236e+05+17625i,-2.5912e+05-33903i,-46899-1.0035e+05i,1.622e+05-27251i
69170+1.853e+05i,7.3666e+05+17994i,-2.6395e+05-35395i,-47116-1.0173e+05i,1.6574e+05-27002i
73319+1.883e+05i,7.488e+05+18360i,-2.6855e+05-36794i,-47316-1.0302e+05i,1.6918e+05-26683i
77306+1.909e+05i,7.5986e+05+18725i,-2.7287e+05-38094i,-47488-1.0421e+05i,1.7246e+05-26286i
81115+1.9305e+05i,7.697e+05+19092i,-2.7686e+05-39289i,-47623-1.0526e+05i,1.7558e+05-25806i
84728+1.9473e+05i,7.7817e+05+19463i,-2.805e+05-40374i,-47715-1.0617e+05i,1.7849e+05-25238i
88130+1.959e+05i,7.8519e+05+19842i,-2.8373e+05-41345i,-47757-1.0692e+05i,1.8116e+05-24577i
91309+1.9653e+05i,7.9066e+05+20232i,-2.8654e+05-42202i,-47743-1.075e+05i,1.8359e+05-23822i
94253+1.9663e+05i,7.9452e+05+20637i,-2.8891e+05-42945i,-47670-1.0791e+05i,1.8574e+05-22971i
96953+1.9619e+05i,7.9674e+05+21061i,-2.9082e+05-43575i,-47534-1.0814e+05i,1.8761e+05-22024i
99401+1.9521e+05i,7.9731e+05+21508i,-2.9228e+05-44095i,-47335-1.0818e+05i,1.8918e+05-20984i
1.0159e+05+1.937e+05i,7.9624e+05+21983i,-2.9328e+05-44512i,-47073-1.0805e+05i,1.9044e+05-19853i
1.0353e+05+1.9169e+05i,7.9355e+05+22490i,-2.9383e+05-44830i,-46749-1.0775e+05i,1.9138e+05-18636i
1.052e+05+1.8921e+05i,7.8932e+05+23035i,-2.9396e+05-45058i,-46367-1.0729e+05i,1.9202e+05-17337i
1.0661e+05+1.8629e+05i,7.8362e+05+23622i,-2.9368e+05-45205i,-45931-1.0667e+05i,1.9235e+05-15964i
1.0777e+05+1.8297e+05i,7.7656e+05+24257i,-2.9303e+05-45280i,-45447-1.0592e+05i,1.9238e+05-14523i
1.0868e+05+1.7931e+05i,7.6824e+05+24943i,-2.9204e+05-45295i,-44921-1.0504e+05i,1.9212e+05-13022i
1.0934e+05+1.7535e+05i,7.588e+05+25685i,-2.9074e+05-45262i,-44362-1.0407e+05i,1.9159e+05-11472i
1.0978e+05+1.7116e+05i,7.4838e+05+26488i,-2.8919e+05-45191i,-43778-1.03e+05i,1.908e+05-9879.5i
1.0999e+05+1.6678e+05i,7.3714e+05+27355i,-2.8743e+05-45097i,-43178-1.0188e+05i,1.8978e+05-8255.9i
1.0999e+05+1.6229e+05i,7.2525e+05+28288i,-2.855e+05-44993i,-42572-1.0071e+05i,1.8854e+05-6610.6i
1.0979e+05+1.5775e+05i,7.1286e+05+29291i,-2.8346e+05-44889i,-41971-99526i,1.8711e+05-4953.6i
1.0942e+05+1.5321e+05i,7.0015e+05+30365i,-2.8135e+05-44801i,-41385-98338i,1.8551e+05-3294.5i
1.0888e+05+1.4875e+05i,6.8728e+05+31511i,-2.7922e+05-44738i,-40824-97170i,1.8377e+05-1642.7i
