Vnorm;Vph;Gnorm;Gph
-15934;4115;-8185;49934
-13751;3777;-7777;44087
-12661;3199;-6476;39930
-10553;2908;-6102;34025
-9465;2372;-4797;29896
-7291;2026;-4422;24250
-6277;1494;-3232;19885
-4103;1079;-2884;14280
-3058;629;-1633;9844
-896;222;-1286;3913
137;-325;14;-160
166;-288;-32;-173
248;-334;-28;-158
232;-296;-26;-152
201;-368;-25;-159
199;-314;-35;-138
132;-251;-2;-180
141;-363;-2;-140
150;-371;-16;-171
163;-316;1;-156
130;-290;0;-164
134;-291;-2;-161
175;-299;2;-134
193;-294;5;-113
155;-287;24;-160
204;-296;-47;-175
578;-333;-35;-206
600;-274;0;-161
92;-199;-36;-152
-107;-205;-34;-92
-20;-187;-13;-94
159;-184;-50;-42
172;-200;-55;-11
136;-242;-65;-102
164;-337;-39;-142
199;-339;0;-107
164;-272;66;-164
179;-353;79;-160
178;-375;95;-177
164;-280;76;-152
136;-315;9;-272
177;-198;-37;-284
174;-292;-55;-65
158;-141;-94;639
185;204;-73;792
198;-176;-74;-144
178;-561;-49;-462
211;-662;-60;-233
237;-493;-67;-157
245;-290;5;-161
194;-257;391;-170
234;-258;1011;-137
219;-285;522;-121
162;-204;-163;-110
120;-214;-162;-120
89;-213;-81;-72
102;-131;-39;-42
112;-149;-55;-5
92;-93;-4;-19
83;-29;-58;8
86;-20;-40;-16
98;29;-7;68
97;98;10;63
97;61;36;84
110;12;15;114
103;-14;57;117
68;-73;76;118
99;-63;41;88
92;-89;105;22
81;-167;124;14
80;-148;138;-37
90;-146;178;-42
51;-162;179;-76
94;-136;184;-33
97;-160;171;-70
35;-111;131;-60
51;-81;99;-87
81;-116;35;-33
60;-58;19;-63
68;-110;-18;-68
88;-177;-65;-49
37;-130;-59;-9
50;-134;-89;-68
103;-159;-94;-12
60;-141;-56;-57
64;-136;-58;-24
51;-128;-61;-53
77;-141;-47;-32
72;-183;-74;-86
85;-141;-52;-43
54;-123;-29;-45
58;-138;-20;-28
120;-170;-44;-52
122;-126;-77;-3
76;-92;-53;-65
68;-117;-62;-30
36;-108;-57;-34
31;-106;-66;-16
21;-114;-72;-27
15;-121;-79;16
-18;-102;-65;-12
-9;-100;-75;-13
25;-69;-74;-19
-24;-32;-70;13
78;-45;-72;22
18;-95;-97;39
240;-93;-64;37
571;-81;5;56
128;-71;19;22
-194;7;68;67
-205;-40;117;70
-31;-23;7;75
35;-7;-48;5
42;28;-70;45
52;73;-127;33
79;39;-83;53
61;28;-75;95
67;-36;-100;120
66;-45;-57;119
88;-28;-109;216
109;-87;-34;129
63;-94;40;77
102;16;701;70
127;-41;1108;47
131;-19;199;53
140;-27;-239;43
133;161;-184;26
180;329;-147;-37
137;-56;-50;7
186;-271;-100;46
191;-281;-54;485
179;-231;-84;1043
150;-86;-70;231
137;-60;-36;-247
109;-41;-43;-144
53;-18;-38;-150
34;4;-14;-20
39;29;-40;-73
32;15;10;-74
72;72;50;-66
66;77;49;-45
60;41;70;-50
52;125;90;-46
61;160;117;-12
25;210;147;-22
60;204;122;13
44;150;93;-5
39;153;97;24
6;132;44;84
48;142;-2;107
-1;60;-14;106
32;20;-60;130
44;2;-62;100
-2;-67;-65;117
19;-36;-74;75
-16;29;-62;62
13;-61;-68;49
32;-38;-52;30
-15;59;-38;-10
36;-13;-45;8
0;13;-4;33
4;26;-24;3
-14;-51;-33;-26
34;-67;-15;-15
34;-60;-14;5
-4;-28;-25;-12
8;-71;-23;-22
14;-77;-16;55
1;-104;-30;2
1;-96;-38;7
0;-140;-29;34
13;-124;-47;41
25;-128;-28;48
31;-199;-53;44
28;-174;-71;22
38;-132;-39;37
90;-152;-50;63
126;-184;-53;39
81;-187;-35;3
48;-233;2;57
1;-190;73;49
27;-182;29;81
5;-241;105;111
-1;-219;70;148
-7;-224;-27;179
33;-193;-35;185
16;-186;-67;212
6;-195;-88;147
68;-194;-80;153
36;-121;-107;156
328;-165;-82;106
466;-201;-75;52
45;-195;-77;24
-146;-297;1;-23
-204;-233;419;-52
-34;-261;912;-125
46;-328;452;-177
19;-239;-133;-185
27;-261;-159;-184
35;-187;-113;-138
29;-234;-77;-152
44;43;-69;-171
37;125;-53;-108
57;-296;-74;-174
21;-515;-42;-106
22;-586;-53;-89
40;-386;-10;-51
94;-317;7;-49
80;-228;-1;27
73;-197;27;-4
95;-241;48;-53
106;-172;63;-43
128;-177;86;-27
120;-160;108;-54
116;-170;141;-57
122;-141;168;-88
74;-75;174;-47
96;-37;165;-119
64;-2;166;-84
-23;7;154;135
18;56;89;553
44;-2;54;383
-36;-67;12;-291
-16;-32;-22;-316
24;-80;-52;-245
32;-156;-65;-326
1;-144;-56;-220
26;-168;-76;-291
42;-219;-25;-211
25;-226;-44;-221
11;-216;-72;-163
56;-260;-41;-226
23;-205;-32;-171
-35;-217;-24;-209
3;-219;-28;-150
57;-211;-22;-175
9;-236;-44;-108
-4;-227;-32;-165
-3;-228;-51;-84
9;-278;-59;-103
-12;-295;-45;-29
-12;-246;-85;-58
0;-299;-91;-23
30;-310;-69;-96
-21;-304;-51;-84
-7;-330;-62;-161
4;-260;-93;-168
16;-345;-69;-217
-1;-295;-59;-181
18;-309;-74;-269
0;-393;-60;-235
-1;-329;-72;-266
-41;-351;-57;-225
-17;-320;-78;-248
-7;-378;-25;-210
36;-359;53;-253
-35;-312;50;-153
-43;-353;80;-252
-18;-382;54;-168
-31;-397;-39;-235
-11;-345;-44;-156
6;-311;-85;-175
21;-280;-104;-178
42;-294;-95;-212
1;-262;-88;-136
23;-262;-79;-226
-52;-241;-66;-130
-49;-279;-64;-231
-65;-424;3;-151
-63;-389;353;-226
-62;-355;1012;-56
-89;-413;583;-138
-66;-394;-146;-195
-62;-387;-183;-142
-23;-372;-79;-133
-86;-330;-29;-180
208;-365;-65;-140
503;51;-68;-169
69;101;-11;-144
-159;-431;-19;-197
-233;-781;-32;-150
-95;-802;-31;-184
0;-530;-6;-124
0;-443;14;-146
10;-417;20;-104
30;-391;52;-156
64;-407;98;-153
0;-399;83;-181
65;-418;108;-166
57;-370;140;-160
72;-323;172;-94
94;-329;158;-156
81;-304;170;-77
122;-248;157;-127
95;-219;130;-124
117;-153;73;-170
133;-142;41;-179
121;-194;5;-219
142;-130;-39;-130
155;-173;-73;-203
153;-311;-117;-158
154;-314;-83;-257
118;-328;-38;-140
125;-388;-106;-37
87;-418;-65;529
5;-384;-46;485
11;-396;-90;-192
5;-386;-40;-370
20;-373;-50;-240
-1;-360;-36;-286
-23;-391;-39;-221
6;-374;-69;-271
-10;-373;-49;-207
43;-360;-32;-270
20;-327;-50;-167
20;-423;-46;-233
17;-387;-32;-152
20;-384;-74;-188
19;-407;-52;-76
15;-340;-51;-172
15;-381;-41;-87
-22;-445;-16;-110
-19;-389;-29;-35
22;-405;-31;-67
6;-435;-56;15
22;-423;-4;-34
11;-435;-27;33
-3;-404;-51;-87
-24;-397;-17;-4
41;-367;-23;-106
42;-385;-11;-80
50;-380;-27;-169
15;-373;23;-129
-8;-415;42;-200
56;-372;62;-201
61;-380;110;-212
19;-375;44;-226
96;-294;-22;-256
81;-345;-53;-202
37;-360;-64;-238
42;-321;-59;-198
79;-444;-88;-259
59;-386;-77;-146
77;-337;-96;-241
44;-356;-89;-156
45;-272;-47;-174
72;-321;-1;-138
87;-321;475;-259
55;-294;1035;-180
79;-248;322;-268
115;-239;-215;-199
149;-232;-153;-281
99;-237;-102;-228
93;-297;-54;-264
62;-284;-94;-229
21;-338;-84;-263
-2;-362;-59;-195
12;-347;-41;-261
-13;-283;-21;-187
21;-308;-30;-228
-5;-210;-14;-156
15;-272;10;-214
64;-156;29;-191
-83;212;72;-231
110;-209;93;-196
615;-522;57;-210
386;-558;128;-131
-182;-510;144;-125
-315;-349;162;-69
-114;-302;202;-105
-30;-241;226;-52
2;-249;204;-189
31;-182;186;-130
19;-170;132;-227
54;-192;51;-125
27;-98;24;-230
32;-107;-49;-160
9;-108;-55;-181
20;-102;-43;-184
56;-29;-52;-188
50;59;-37;162
62;78;-55;692
76;86;-48;381
104;9;-27;-273
81;71;-37;-215
115;29;-36;-264
158;-49;-18;-150
142;-69;-32;-243
172;-65;-14;-158
112;-59;-34;-260
106;-129;-37;-216
126;-198;-49;-238
72;-126;-35;-214
85;-65;-31;-209
-11;-119;-53;-198
-3;-50;-55;-210
