2012.9+46i,491.83+580.07i,-3180.7-402.3i,692.77-63.295i,-154.01-707.43i
2074.3+45.17i,512.92+596.98i,-3289.6-414.59i,718.55-65.029i,-162.04-725.3i
2139.1+44.786i,535.15+614.58i,-3406.2-427.89i,746.82-66.473i,-169.38-744.68i
2207.3+44.675i,558.53+632.91i,-3530-442.02i,777.33-67.764i,-176.39-765.36i
2278.7+44.702i,583.03+651.95i,-3660.1-456.82i,809.86-68.993i,-183.33-787.13i
2353+44.767i,608.63+671.65i,-3796.1-472.15i,844.15-70.216i,-190.38-809.78i
2429.7+44.794i,635.23+691.93i,-3937-487.88i,879.94-71.458i,-197.65-833.08i
2508.4+44.733i,662.73+712.66i,-4081.8-503.9i,916.95-72.723i,-205.2-856.79i
2588.4+44.553i,690.97+733.68i,-4229.5-520.07i,954.88-74i,-213.02-880.67i
2669+44.237i,719.77+754.8i,-4378.8-536.25i,993.41-75.266i,-221.07-904.45i
2749.2+43.777i,748.91+775.79i,-4528.4-552.31i,1032.2-76.49i,-229.29-927.87i
2828.2+43.175i,778.14+796.42i,-4676.6-568.08i,1070.9-77.64i,-237.56-950.62i
2905+42.435i,807.18+816.41i,-4822-583.39i,1109.1-78.684i,-245.79-972.39i
2978.5+41.564i,835.7+835.48i,-4962.7-598.05i,1146.4-79.589i,-253.83-992.87i
3047.7+40.57i,863.39+853.3i,-5096.9-611.85i,1182.4-80.326i,-261.57-1011.7i
3111.3+39.458i,889.87+869.58i,-5222.5-624.58i,1216.7-80.868i,-268.88-1028.6i
3168.4+38.23i,914.77+883.98i,-5337.7-636i,1248.7-81.193i,-275.62-1043.1i
3217.6+36.889i,937.72+896.18i,-5440.2-645.87i,1277.9-81.28i,-281.67-1055i
3257.9+35.431i,958.31+905.85i,-5528.2-653.97i,1304-81.113i,-286.93-1063.9i
3288.1+33.851i,976.17+912.68i,-5599.5-660.04i,1326.3-80.674i,-291.27-1069.3i
3307.1+32.142i,990.91+916.35i,-5652.2-663.86i,1344.4-79.951i,-294.6-1071.1i
3313.8+30.295i,1002.1+916.57i,-5684.3-665.21i,1357.8-78.931i,-296.83-1068.8i
3307.4+28.301i,1009.5+913.07i,-5693.9-663.86i,1366-77.601i,-297.88-1062.2i
3286.7+26.152i,1012.7+905.61i,-5679.5-659.64i,1368.6-75.948i,-297.67-1051i
3251.1+23.84i,1011.4+893.96i,-5639.5-652.36i,1365.1-73.962i,-296.14-1034.9i
3199.7+21.36i,1005.3+877.94i,-5572.5-641.89i,1355.1-71.631i,-293.24-1013.8i
3132.1+18.709i,994.11+857.38i,-5477.3-628.09i,1338.4-68.946i,-288.91-987.51i
3047.6+15.89i,977.73+832.18i,-5353.2-610.89i,1314.5-65.899i,-283.11-955.85i
2946.1+12.909i,955.97+802.27i,-5199.3-590.21i,1283.4-62.483i,-275.82-918.78i
2827.2+9.7736i,928.69+767.59i,-5015.3-566.03i,1244.8-58.696i,-266.99-876.27i
2691.1+6.499i,895.86+728.18i,-4801-538.35i,1198.7-54.537i,-256.63-828.34i
2537.9+3.1025i,857.45+684.08i,-4556.6-507.21i,1145-50.013i,-244.72-775.08i
