4.0853-2.9366i,-0.83648-1.5981i,1.0663-1.4769i,0.023977-2.0381i,-2.1362-0.65286i
3.3585-2.9776i,-2.1146-1.0266i,0.40195-0.55073i,-0.8779-1.9671i,-3.1131+0.25478i
3.1624-3.0567i,-2.4742-0.75524i,0.3277-0.087588i,-1.1228-1.8628i,-3.5546+0.88395i
3.2569-3.1447i,-2.3224-0.66052i,0.5927+0.073608i,-0.97143-1.7415i,-3.6562+1.2848i
3.4789-3.2283i,-1.9539-0.65673i,1.0131+0.052003i,-0.62276-1.6159i,-3.5731+1.502i
3.7263-3.3046i,-1.566-0.6886i,1.462-0.067286i,-0.21968-1.4956i,-3.4198+1.5768i
3.9443-3.3768i,-1.2758-0.72442i,1.8594-0.22608i,0.14377-1.3877i,-3.2731+1.5474i
4.1124-3.4509i,-1.1372-0.74988i,2.1631-0.38696i,0.41403-1.2968i,-3.1761+1.4495i
4.2337-3.5333i,-1.1576-0.76259i,2.359-0.52796i,0.56921-1.2256i,-3.1452+1.3154i
4.325-3.6299i,-1.3132-0.76754i,2.4538-0.63816i,0.61058-1.175i,-3.1763+1.1737i
4.4094-3.7446i,-1.5628-0.77339i,2.4672-0.71409i,0.55462-1.1449i,-3.2523+1.0485i
4.5104-3.8798i,-1.8591-0.78966i,2.4264-0.75695i,0.42608-1.134i,-3.3489+0.95845i
4.6477-4.0355i,-2.1566-0.8248i,2.3607-0.77049i,0.25237-1.1404i,-3.4404+0.91644i
4.8347-4.2104i,-2.4185-0.88489i,2.2979-0.75953i,0.059267-1.1619i,-3.5041+0.92951i
5.077-4.4016i,-2.6199-0.97309i,2.2615-0.72903i,-0.13205-1.1966i,-3.5232+0.99886i
5.3727-4.6056i,-2.7489-1.0896i,2.2691-0.68356i,-0.30654-1.2429i,-3.4885+1.1204i
5.7127-4.818i,-2.8066-1.2317i,2.3311-0.62712i,-0.45582-1.2996i,-3.399+1.2854i
6.0829-5.0345i,-2.8046-1.395i,2.4515-0.56315i,-0.57769-1.3662i,-3.2615+1.4816i
6.4653-5.251i,-2.7622-1.5732i,2.6275-0.49479i,-0.67499-1.4432i,-3.0889+1.6946i
6.8403-5.4634i,-2.703-1.7595i,2.8511-0.42502i,-0.75405-1.5312i,-2.8987+1.9088i
7.1889-5.6683i,-2.6512-1.9474i,3.1103-0.35699i,-0.823-1.6318i,-2.7101+2.109i
