-0.47755+0.042526i,-3.5719+0.57256i,-4.0652-0.49594i,0.021086+0.0063364i,-2.1332+0.68877i
-1.0633+0.22231i,-2.3393-0.17233i,-3.623-0.30019i,0.56836-0.22568i,-0.27121+0.53592i
-1.2874+0.28901i,-1.4725-0.55905i,-2.8656-0.15667i,0.22606-0.26267i,0.40341+0.36724i
-1.2664+0.30053i,-0.94079-0.72102i,-2.0878-0.057796i,-0.49493-0.20815i,0.31037+0.19988i
-1.0922+0.29707i,-0.69881-0.75468i,-1.47+0.0046891i,-1.2432-0.13051i,-0.23326+0.040913i
-0.83384+0.30359i,-0.6907-0.72665i,-1.1013+0.038823i,-1.8036-0.070393i,-0.99479-0.10759i
-0.54108+0.3326i,-0.85515-0.68021i,-1.0023+0.051867i,-2.0717-0.047478i,-1.8101-0.24535i
-0.24711+0.38714i,-1.1302-0.64094i,-1.1452+0.050017i,-2.0276-0.06641i,-2.5705-0.37205i
0.028116+0.4636i,-1.4573-0.6216i,-1.4723+0.038317i,-1.7113-0.12194i,-3.2106-0.48659i
0.2748+0.55438i,-1.7856-0.62616i,-1.9117+0.020713i,-1.1994-0.20315i,-3.6993-0.58705i
0.49042+0.65018i,-2.0741-0.65311i,-2.3896+0.00018994i,-0.58502-0.2969i,-4.0308-0.67107i
0.67713+0.74184i,-2.2934-0.69794i,-2.8403-0.021047i,0.037772-0.3903i,-4.2176-0.7365i
0.83956+0.82167i,-2.427-0.75506i,-3.212-0.041392i,0.58672-0.47254i,-4.2843-0.78193i
0.983+0.88435i,-2.47-0.81903i,-3.4708-0.059667i,0.99931-0.5359i,-4.2623-0.80722i
1.1121+0.92727i,-2.4288-0.88534i,-3.6018-0.074995i,1.2371-0.57626i,-4.1856-0.81373i
1.2298+0.95054i,-2.3183-0.95077i,-3.6081-0.08671i,1.2865-0.59299i,-4.0866-0.80438i
1.3373+0.95662i,-2.1599-1.0134i,-3.5079-0.094301i,1.157-0.5886i,-3.994-0.78347i
1.4336+0.94974i,-1.9786-1.0726i,-3.3307-0.097399i,0.87681-0.568i,-3.9299-0.75625i
1.5155+0.9352i,-1.8003-1.1283i,-3.1131-0.095786i,0.48772-0.53768i,-3.9091-0.72845i
1.5789+0.91858i,-1.6489-1.1812i,-2.8938-0.089414i,0.038577-0.50483i,-3.9378-0.70564i
1.6185+0.90508i,-1.5444-1.232i,-2.7097-0.078438i,-0.42061-0.47649i,-4.0145-0.69273i
1.6291+0.89895i,-1.5006-1.2812i,-2.5916-0.063246i,-0.84425-0.45879i,-4.13-0.69339i
1.6059+0.90302i,-1.5249-1.3291i,-2.5619-0.044474i,-1.1955-0.45641i,-4.2693-0.70974i
1.5456+0.91853i,-1.617-1.3751i,-2.6327-0.023012i,-1.4495-0.47215i,-4.4129-0.74212i
1.4465+0.94506i,-1.7696-1.4184i,-2.8049+1.3272e-05i,-1.5945-0.5068i,-4.5391-0.78906i
1.309+0.98068i,-1.9693-1.4576i,-3.0688+0.023282i,-1.6321-0.55914i,-4.6262-0.84747i
1.1359+1.0222i,-2.1976-1.4908i,-3.4054+0.04534i,-1.5758-0.62619i,-4.6546-0.91295i
0.93219+1.0657i,-2.4331-1.5161i,-3.7887+0.064682i,-1.4484-0.70354i,-4.6086-0.98027i
0.70504+1.1066i,-2.653-1.5316i,-4.188+0.079847i,-1.2788-0.78584i,-4.4781-1.0439i
0.46318+1.1407i,-2.8354-1.5356i,-4.5713+0.089523i,-1.0982-0.86729i,-4.2599-1.0984i
0.21652+1.1642i,-2.961-1.527i,-4.9076+0.092647i,-0.93626-0.94219i,-3.9578-1.1393i
-0.02448+1.1743i,-3.0146-1.5051i,-5.1702+0.088505i,-0.81831-1.0054i,-3.5828-1.1632i
-0.24949+1.1692i,-2.9863-1.4701i,-5.3383+0.076796i,-0.76229-1.0526i,-3.1522-1.1682i
-0.44898+1.1487i,-2.8724-1.4231i,-5.3987+0.057686i,-0.77722-1.0809i,-2.6884-1.1539i
-0.61481+1.1138i,-2.6753-1.3657i,-5.347+0.031812i,-0.86243-1.0885i,-2.2174-1.1216i
-0.74076+1.0666i,-2.4035-1.3003i,-5.187+0.00025733i,-1.008-1.0753i,-1.7661-1.0743i
-0.82293+1.0106i,-2.0706-1.2297i,-4.9305-0.035506i,-1.1958-1.0424i,-1.3609-1.0157i
-0.85997+0.94949i,-1.6942-1.1571i,-4.5959-0.073719i,-1.4021-0.99207i,-1.0251-0.95065i
-0.85317+0.88764i,-1.2946-1.0854i,-4.2063-0.11246i,-1.5994-0.92748i,-0.77732-0.88414i
-0.80631+0.82912i,-0.89321-1.0175i,-3.7877-0.14978i,-1.7602-0.8525i,-0.62964-0.82099i
-0.72543+0.77752i,-0.51083-0.95591i,-3.3666-0.18388i,-1.8589-0.77133i,-0.58694-0.76541i
-0.61835+0.73563i,-0.16625-0.90231i,-2.9681-0.2132i,-1.8753-0.68823i,-0.64638-0.72061i
-0.49419+0.70517i,0.125-0.8577i,-2.6138-0.2366i,-1.7958-0.60725i,-0.79768-0.68856i
-0.36266+0.68667i,0.35164-0.82227i,-2.3205-0.2534i,-1.6152-0.53199i,-1.024-0.66984i
-0.23342+0.67948i,0.50719-0.7954i,-2.0994-0.26349i,-1.337-0.46543i,-1.3034-0.66368i
-0.11543+0.68186i,0.59015-0.77581i,-1.955-0.26728i,-0.97313-0.4098i,-1.6105-0.66809i
-0.016358+0.69122i,0.60381-0.76167i,-1.8858-0.2657i,-0.54257-0.3665i,-1.9189-0.68013i
0.057951+0.7044i,0.55567-0.75085i,-1.8846-0.26013i,-0.069988-0.3361i,-2.2031-0.69628i
0.10377+0.71801i,0.45661-0.74113i,-1.9395-0.25226i,0.41669-0.31836i,-2.4408-0.71278i
0.11969+0.72876i,0.31982-0.73046i,-2.0352-0.24397i,0.8886-0.31234i,-2.6146-0.72608i
0.10661+0.73381i,0.15962-0.71714i,-2.1547-0.23713i,1.3184-0.3165i,-2.7135-0.73316i
0.067535+0.731i,-0.0096486-0.70002i,-2.2805-0.2335i,1.6824-0.32887i,-2.7336-0.73185i
