4.605-1.1269i,2.9407+0.57334i,0.73251+1.3677i,0.83578-0.9161i,-4.1936-0.046428i
2.9079-1.1877i,2.7519+0.36208i,0.51785+1.1107i,0.95485+1.042i,-2.664-0.49083i
2.0194-1.2342i,1.8907+0.29103i,-0.014412+0.88993i,0.88238+1.8489i,-1.43-0.63697i
1.7084-1.2779i,0.86658+0.31469i,-0.64669+0.73413i,0.71014+1.9205i,-0.47014-0.61525i
1.7846-1.3272i,0.0057503+0.39786i,-1.232+0.65693i,0.50577+1.5769i,0.24518-0.51864i
2.094-1.387i,-0.51585+0.51431i,-1.6828+0.66017i,0.31687+1.0545i,0.75136-0.4086i
2.5156-1.4595i,-0.63992+0.64534i,-1.9589+0.73696i,0.17451+0.51748i,1.0868-0.32117i
2.9577-1.5449i,-0.39399+0.77835i,-2.056+0.87462i,0.09637+0.070204i,1.2907-0.27279i
3.3548-1.6418i,0.13804+0.90552i,-1.9952+1.0574i,0.089415-0.23133i,1.4006-0.2657i
3.6647-1.7482i,0.84183+1.0225i,-1.8123+1.2685i,0.15227-0.36846i,1.451-0.29284i
3.8651-1.8612i,1.5945+1.1275i,-1.5504+1.4924i,0.27729-0.34978i,1.4718-0.34199i
3.9505-1.9785i,2.2817+1.2201i,-1.2526+1.7156i,0.45245-0.20211i,1.487-0.39913i
3.9289-2.0977i,2.8102+1.3008i,-0.95734+1.9276i,0.6629+0.037297i,1.5145-0.45104i
3.8182-2.2174i,3.1153+1.3705i,-0.69513+2.1215i,0.89245+0.32727i,1.566-0.48709i
3.6433-2.3366i,3.1644+1.4301i,-0.48673+2.2939i,1.1248+0.62787i,1.6468-0.50021i
3.4326-2.455i,2.9565+1.4802i,-0.34294+2.4443i,1.3445+0.90421i,1.7567-0.48733i
3.2149-2.5728i,2.5189+1.5213i,-0.26539+2.5747i,1.5381+1.1291i,1.8907-0.44916i
3.0174-2.6906i,1.9012+1.5539i,-0.2482+2.689i,1.6943+1.2842i,2.0401-0.38967i
2.8629-2.809i,1.1683+1.5783i,-0.28003+2.7917i,1.8051+1.361i,2.1939-0.31517i
2.7682-2.9286i,0.3925+1.5949i,-0.34648+2.8876i,1.8654+1.3597i,2.3397-0.23336i
2.7436-3.0499i,-0.35372+1.6045i,-0.4323+2.9809i,1.8736+1.2884i,2.4651-0.15226i
2.7919-3.1728i,-1.005+1.6082i,-0.52339+3.0746i,1.8311+1.1614i,2.559-0.07935i
2.9088-3.2965i,-1.5083+1.6072i,-0.60833+3.1702i,1.7424+0.99744i,2.6124-0.020735i
3.0835-3.4201i,-1.8271+1.6034i,-0.67934+3.2676i,1.6144+0.81717i,2.6196+0.019337i
3.3002-3.5419i,-1.9431+1.5987i,-0.73268+3.3651i,1.4559+0.64153i,2.5778+0.038768i
3.5391-3.6595i,-1.8568+1.5951i,-0.76849+3.4596i,1.2773+0.48973i,2.4884+0.037635i
3.7786-3.7706i,-1.586+1.5945i,-0.79015+3.5469i,1.0893+0.37764i,2.3564+0.017974i
3.9971-3.8725i,-1.1632+1.5987i,-0.80333+3.6227i,0.90304+0.31668i,2.1899-0.016614i
4.1744-3.9624i,-0.63145+1.6089i,-0.81474+3.6823i,0.72883+0.313i,1.9999-0.061488i
4.294-4.0377i,-0.04035+1.6258i,-0.83097+3.7218i,0.5759+0.36727i,1.7993-0.11156i
4.3434-4.0962i,0.55888+1.6493i,-0.85734+3.7385i,0.45187+0.47476i,1.6021-0.16189i
4.3159-4.1361i,1.1177+1.6784i,-0.89701+3.7307i,0.36234+0.62598i,1.4221-0.20817i
4.2104-4.1563i,1.594+1.7116i,-0.95045+3.6984i,0.31075+0.80762i,1.2719-0.24716i
4.0315-4.1561i,1.9554+1.7464i,-1.0152+3.6433i,0.29821+1.0037i,1.1621-0.27693i
3.7891-4.1358i,2.1807+1.7799i,-1.0863+3.5684i,0.3236+1.1971i,1.1001-0.29691i
3.4973-4.0958i,2.2611+1.8086i,-1.1564+3.4779i,0.38375+1.3706i,1.0898-0.30783i
3.1734-4.0373i,2.1999+1.8291i,-1.2173+3.3771i,0.47369+1.509i,1.131-0.31149i
2.8361-3.9618i,2.011+1.838i,-1.2603+3.2711i,0.58705+1.5995i,1.219-0.31039i
2.5047-3.8709i,1.7172+1.8321i,-1.2777+3.1653i,0.71644+1.6332i,1.3453-0.30732i
2.1967-3.7665i,1.3473+1.8093i,-1.2636+3.064i,0.85397+1.6056i,1.4977-0.30492i
1.9274-3.65i,0.93361+1.7681i,-1.2148+2.9708i,0.99161+1.5171i,1.6616-0.30531i
1.7083-3.523i,0.50879+1.7081i,-1.1316+2.8877i,1.1217+1.3724i,1.8202-0.3097i
1.5466-3.3865i,0.10338+1.6299i,-1.0173+2.8148i,1.2372+1.1808i,1.9567-0.31826i
1.4447-3.2414i,-0.25637+1.5354i,-0.87884+2.7511i,1.3321+0.95466i,2.0549-0.32994i
1.4004-3.0881i,-0.55009+1.4275i,-0.72564+2.6933i,1.4016+0.7089i,2.1007-0.34263i
1.4071-2.9268i,-0.76419+1.3097i,-0.56905+2.6375i,1.4421+0.45959i,2.0834-0.35331i
1.4549-2.7576i,-0.89206+1.1862i,-0.42122+2.5782i,1.4517+0.22264i,1.9968-0.35836i
1.5311-2.5804i,-0.93374+1.0616i,-0.29389+2.5098i,1.4295+0.012621i,1.8395-0.354i
1.6216-2.3951i,-0.89495+0.9401i,-0.19721+2.4266i,1.3762-0.15844i,1.6155-0.33666i
1.712-2.2018i,-0.78589+0.82582i,-0.13875+2.3234i,1.2936-0.28192i,1.3345-0.30347i
1.7887-2.001i,-0.61972+0.72204i,-0.12262+2.1961i,1.1845-0.35326i,1.0107-0.25261i
1.8399-1.7932i,-0.41108+0.63116i,-0.14906+2.0421i,1.0527-0.37222i,0.66259-0.18358i
1.8567-1.5797i,-0.17471+0.55449i,-0.21432+1.8604i,0.9024-0.34281i,0.3115-0.097396i
