-2.6762+0.092336i,2.7468+2.4293i,-0.15764+1.372i,-0.11979-0.54223i,0.17208+0.8885i
-4.559+0.16397i,0.4863+1.5592i,-0.21858+0.32496i,1.0227-1.4401i,1.0931-0.044585i
-5.3994+0.18086i,-0.5806+0.9784i,-0.1514-0.13755i,1.5747-1.7226i,1.4449-0.47901i
-5.6289+0.1668i,-0.86735+0.62691i,-0.0025902-0.25057i,1.7721-1.62i,1.4301-0.56229i
-5.5641+0.14024i,-0.6911+0.45322i,0.18653-0.18364i,1.7865-1.3097i,1.2077-0.41588i
-5.4226+0.11413i,-0.2842+0.41411i,0.38086-0.051317i,1.7339-0.92225i,0.89671-0.13693i
-5.3397+0.096379i,0.19322+0.47401i,0.55227+0.076419i,1.6854-0.54804i,0.58068+0.19966i
-5.3849+0.090524i,0.64027+0.60393i,0.67999+0.16408i,1.6766-0.24391i,0.31287+0.53899i
-5.5783+0.096719i,1.0025+0.78047i,0.75072+0.20139i,1.7179-0.039685i,0.12161+0.8436i
-5.9052+0.11273i,1.2597+0.98468i,0.75827+0.19495i,1.8024+0.055626i,0.015754+1.091i
-6.3296+0.13494i,1.4155+1.2012i,0.70292+0.16108i,1.914+0.048102i,-0.010118+1.2708i
-6.8051+0.15921i,1.4877+1.4173i,0.59046+0.12i,2.033-0.046156i,0.029029+1.3825i
-7.2836+0.18164i,1.5008+1.6226i,0.43109+0.091306i,2.1408-0.20538i,0.11289+1.4326i
-7.7221+0.19907i,1.4801+1.8085i,0.23798+0.090825i,2.223-0.40571i,0.21933+1.4324i
-8.0869+0.2094i,1.4475+1.9678i,0.025987+0.12866i,2.2707-0.62399i,0.32718+1.396i
-8.3561+0.21172i,1.4196+2.0954i,-0.18979+0.20835i,2.2814-0.83982i,0.41827+1.3381i
-8.5199+0.20628i,1.4057+2.1874i,-0.39523+0.32703i,2.2578-1.0368i,0.47876+1.273i
-8.58+0.19427i,1.4087+2.242i,-0.57831+0.47622i,2.2074-1.2034i,0.49986+1.213i
-8.5478+0.17758i,1.4257+2.2593i,-0.72989+0.64322i,2.1402-1.3327i,0.4779+1.1676i
-8.4416+0.15846i,1.4496+2.2412i,-0.84429+0.81277i,2.0672-1.4227i,0.41401+1.1429i
-8.2839+0.1392i,1.4708+2.1916i,-0.91946+0.96889i,1.9985-1.4749i,0.31341+1.1418i
-8.0986+0.12184i,1.4794+2.1162i,-0.9569+1.0965i,1.9423-1.4943i,0.18446+1.1636i
-7.9084+0.10792i,1.4666+2.0217i,-0.96124+1.1831i,1.9034-1.4879i,0.037602+1.2047i
-7.7325+0.098348i,1.4263+1.9161i,-0.93957+1.2197i,1.8831-1.4638i,-0.11578+1.2591i
-7.5854+0.093301i,1.3557+1.8078i,-0.90063+1.2017i,1.8792-1.4303i,-0.26437+1.3192i
-7.4761+0.09229i,1.2562+1.7048i,-0.8538+1.1293i,1.8862-1.3954i,-0.39784+1.3764i
-7.4076+0.094238i,1.1329+1.6144i,-0.80818+1.0073i,1.8966-1.3655i,-0.5076+1.4221i
-7.3777+0.09766i,0.99401+1.5426i,-0.77163+0.84451i,1.9017-1.3456i,-0.58731+1.4485i
-7.3795+0.10086i,0.85038+1.4936i,-0.75001+0.65309i,1.8931-1.3388i,-0.63318+1.4492i
-7.4029+0.10215i,0.71398+1.4691i,-0.74663+0.44732i,1.864-1.346i,-0.64401+1.42i
-7.436+0.10006i,0.59676+1.4686i,-0.76196+0.24244i,1.8099-1.3663i,-0.62111+1.3589i
-7.4664+0.093531i,0.50946+1.4894i,-0.79357+0.053386i,1.7294-1.3971i,-0.5679+1.2665i
-7.4824+0.082003i,0.46042+1.5262i,-0.83645-0.10638i,1.6248-1.4344i,-0.48958+1.1459i
-7.4744+0.06551i,0.45482+1.5725i,-0.88349-0.22594i,1.5019-1.4734i,-0.39247+1.0025i
-7.4352+0.04467i,0.49407+1.6201i,-0.92623-0.29769i,1.3693-1.5088i,-0.28356+0.8433i
-7.3608+0.020612i,0.57564+1.6606i,-0.95572-0.31782i,1.2378-1.5351i,-0.16989+0.67676i
-7.2502-0.005137i,0.69324+1.6857i,-0.96344-0.28657i,1.1192-1.5473i,-0.058026+0.51185i
-7.1054-0.030816i,0.83734+1.688i,-0.94225-0.20808i,1.0248-1.5414i,0.046301+0.35747i
