-5.8716+0.26306i,-0.31205+5.2128i,-2.7604+0.2089i,-0.79848+3.8092i,-0.30687+2.6251i
-5.8068-0.21941i,1.5524+0.54642i,-4.7764+1.6051i,0.13072+0.91303i,-0.13056-0.52277i
-6.4286-0.31704i,2.2204-1.7215i,-5.785+2.9679i,1.5444-0.93851i,0.38413-1.2706i
-7.6135-0.21337i,2.1269-2.4531i,-6.1956+4.243i,3.1562-2.0063i,1.0829-0.51358i
-9.249-0.034671i,1.6039-2.2967i,-6.3213+5.4007i,4.7612-2.5053i,1.8498+1.0729i
-11.233+0.13868i,0.89568-1.7202i,-6.3893+6.4303i,6.2244-2.61i,2.6016+3.0004i
-13.472+0.26188i,0.17255-1.0433i,-6.5528+7.3345i,7.4679-2.4588i,3.2829+4.9352i
-15.881+0.31655i,-0.45548-0.46649i,-6.9028+8.1252i,8.46-2.1597i,3.8611+6.6687i
-18.385+0.30287i,-0.92647-0.098364i,-7.4803+8.8187i,9.2033-1.7941i,4.3214+8.0902i
-20.914+0.23286i,-1.2155+0.021175i,-8.2872+9.4331i,9.7249-1.4221i,4.6623+9.162i
-23.407+0.12496i,-1.3245-0.099761i,-9.2973+9.9855i,10.067-1.0859i,4.892+9.8985i
-25.811-0.00026496i,-1.2743-0.42224i,-10.466+10.49i,10.28-0.8135i,5.025+10.347i
-28.08-0.12326i,-1.0965-0.89052i,-11.736+10.959i,10.414-0.6219i,5.0786+10.575i
-30.177-0.22766i,-0.82836-1.443i,-13.05+11.398i,10.518-0.51944i,5.0713+10.652i
-32.072-0.3016i,-0.50745-2.0205i,-14.349+11.81i,10.631-0.50794i,5.0207+10.651i
-33.742-0.3382i,-0.1687-2.5716i,-15.581+12.197i,10.784-0.58427i,4.9421+10.631i
-35.174-0.33553i,0.15823-3.0563i,-16.703+12.556i,10.998-0.74147i,4.8482+10.64i
-36.359-0.29608i,0.45025-3.4473i,-17.682+12.882i,11.281-0.9696i,4.7485+10.711i
-37.297-0.22588i,0.69138-3.7302i,-18.496+13.172i,11.634-1.2564i,4.6496+10.864i
-37.996-0.13351i,0.87267-3.9027i,-19.136+13.421i,12.048-1.5877i,4.5552+11.102i
-38.466-0.028985i,0.99159-3.9724i,-19.602+13.627i,12.506-1.9478i,4.4671+11.419i
-38.724+0.07733i,1.051-3.9544i,-19.903+13.786i,12.986-2.3201i,4.3851+11.799i
-38.792+0.17566i,1.058-3.8694i,-20.056+13.899i,13.463-2.6875i,4.3082+12.219i
-38.692+0.25759i,1.0228-3.7404i,-20.082+13.966i,13.913-3.0331i,4.2348+12.654i
-38.449+0.31668i,0.95706-3.5909i,-20.006+13.991i,14.31-3.3408i,4.1631+13.077i
-38.09+0.34875i,0.87328-3.4425i,-19.854+13.978i,14.632-3.596i,4.0916+13.463i
-37.638+0.35207i,0.78338-3.3135i,-19.651+13.931i,14.862-3.7866i,4.0193+13.792i
-37.118+0.32727i,0.69798-3.218i,-19.421+13.857i,14.987-3.9035i,3.9456+14.047i
-36.551+0.2771i,0.62575-3.1646i,-19.182+13.76i,14.998-3.941i,3.8703+14.217i
-35.955+0.20608i,0.57293-3.1569i,-18.949+13.647i,14.896-3.8977i,3.7939+14.296i
-35.347+0.1201i,0.54313-3.1936i,-18.733+13.521i,14.684-3.7759i,3.7173+14.284i
-34.738+0.025854i,0.53729-3.269i,-18.538+13.388i,14.372-3.5821i,3.6416+14.185i
-34.137-0.069586i,0.55384-3.3739i,-18.365+13.25i,13.973-3.3264i,3.568+14.009i
-33.549-0.15933i,0.58904-3.4968i,-18.211+13.109i,13.505-3.0219i,3.4979+13.768i
-32.979-0.2371i,0.63744-3.6248i,-18.07+12.966i,12.986-2.6841i,3.4324+13.473i
