-605.26+101.34i,-170.6-834.72i,1037.5-292.76i,3061.6+1589.6i,733.58-757.84i
-4472.6-749.7i,-1130.5-3157i,-714.9-101.66i,7229.9+5255.9i,2372.7-1876.2i
-8300.9-1592.4i,-2081.3-5457.1i,-2450.2+87.964i,11355+8886.4i,3994.8-2984.5i
-12069-2422.1i,-3016.8-7722.1i,-4158.7+275.15i,15415+12461i,5591.4-4076.4i
-15757-3234.3i,-3931.2-9939.6i,-5831.2+458.95i,19388+15960i,7154.1-5145.9i
-19346-4024.6i,-4818.8-12098i,-7458.5+638.48i,23254+19366i,8674.9-6187.2i
-22815-4789i,-5674.6-14185i,-9032+812.91i,26995+22661i,10146-7195i
-26149-5523.6i,-6493.7-16192i,-10544+981.47i,30590+25828i,11561-8164.3i
-29332-6225i,-7272-18109i,-11986+1143.5i,34025+28853i,12912-9090.5i
-32348-6890i,-8005.5-19926i,-13353+1298.3i,37283+31722i,14194-9969.4i
-35185-7515.9i,-8691.1-21637i,-14638+1445.3i,40351+34423i,15402-10797i
-37833-8100.1i,-9325.8-23234i,-15836+1584.1i,43217+36945i,16531-11571i
-40281-8640.7i,-9907.6-24712i,-16943+1714.2i,45872+39280i,17576-12288i
-42522-9136i,-10435-26066i,-17956+1835.3i,48306+41420i,18536-12947i
-44551-9584.9i,-10906-27294i,-18871+1947.2i,50515+43360i,19408-13544i
-46364-9986.5i,-11321-28393i,-19689+2049.6i,52494+45097i,20190-14080i
-47960-10341i,-11679-29361i,-20407+2142.4i,54241+46627i,20881-14553i
-49339-10647i,-11982-30198i,-21027+2225.5i,55756+47952i,21482-14963i
-50502-10906i,-12230-30906i,-21549+2299.1i,57041+49073i,21994-15311i
-51453-11119i,-12424-31487i,-21976+2363i,58098+49992i,22417-15597i
-52199-11286i,-12567-31943i,-22311+2417.7i,58934+50714i,22755-15823i
-52745-11410i,-12660-32278i,-22556+2463.1i,59555+51245i,23009-15990i
-53101-11491i,-12707-32498i,-22717+2499.7i,59969+51593i,23184-16101i
-53275-11533i,-12711-32607i,-22797+2527.8i,60187+51767i,23283-16157i
-53278-11537i,-12674-32611i,-22802+2547.8i,60218+51775i,23311-16162i
-53123-11506i,-12601-32518i,-22737+2560.1i,60074+51628i,23271-16119i
-52820-11442i,-12494-32335i,-22609+2565.3i,59769+51338i,23170-16030i
-52384-11349i,-12358-32069i,-22423+2563.7i,59315+50916i,23012-15900i
-51827-11230i,-12196-31727i,-22186+2555.9i,58725+50375i,22803-15732i
-51163-11086i,-12013-31319i,-21904+2542.6i,58015+49727i,22548-15530i
-50405-10923i,-11812-30851i,-21583+2524.1i,57196+48984i,22253-15297i
-49568-10741i,-11596-30333i,-21230+2501.1i,56285+48160i,21924-15037i
-48662-10545i,-11370-29771i,-20849+2474i,55294+47265i,21564-14754i
-47703-10336i,-11135-29174i,-20448+2443.5i,54236+46314i,21180-14452i
-46701-10118i,-10897-28547i,-20032+2409.8i,53124+45315i,20777-14133i
-45667-9893.6i,-10657-27900i,-19605+2373.6i,51970+44282i,20359-13802i
-44613-9664.4i,-10418-27237i,-19171+2335.2i,50785+43222i,19930-13461i
-43547-9432.6i,-10181-26564i,-18737+2295i,49579+42147i,19495-13113i
-42478-9200.3i,-9950.5-25887i,-18304+2253.4i,48362+41063i,19056-12760i
-41414-8969i,-9726.2-25211i,-17876+2210.6i,47142+39979i,18617-12406i
-40362-8740.2i,-9509.8-24539i,-17456+2167i,45925+38901i,18181-12052i
-39325-8515.1i,-9302.3-23875i,-17047+2122.7i,44717+37834i,17749-11700i
-38309-8294.6i,-9104.3-23222i,-16648+2078.1i,43525+36783i,17323-11351i
-37317-8079.5i,-8916-22582i,-16263+2033.2i,42350+35752i,16905-11007i
-36350-7870.2i,-8737.4-21956i,-15892+1988.2i,41195+34742i,16495-10668i
-35411-7667i,-8568.2-21346i,-15534+1943.2i,40063+33756i,16094-10335i
-34498-7470i,-8408-20751i,-15190+1898.3i,38953+32794i,15702-10009i
-33612-7279i,-8256-20172i,-14859+1853.5i,37866+31856i,15318-9689.6i
-32751-7093.8i,-8111.2-19608i,-14540+1808.9i,36799+30941i,14942-9376.5i
-31912-6913.8i,-7972.6-19058i,-14233+1764.5i,35752+30048i,14572-9069.7i
-31094-6738.6i,-7838.9-18521i,-13935+1720.2i,34721+29175i,14208-8768.7i
-30292-6567.4i,-7708.9-17995i,-13645+1676.1i,33704+28318i,13848-8472.9i
-29504-6399.5i,-7581.2-17477i,-13361+1632i,32697+27476i,13491-8181.7i
-28725-6234i,-7454.5-16967i,-13082+1588i,31696+26645i,13135-7894.3i
-27952-6070i,-7327.3-16461i,-12806+1544i,30698+25821i,12777-7609.8i
