-71625+60485i,-84555-78798i,1.7059e+05-16757i,1.0908e+05-22653i,-1.2151e+05-1.2715e+05i
-88393+59087i,-1.1101e+05-1.4853e+05i,1.4798e+05+20763i,1.0504e+05-10472i,-1.2838e+05-79937i
-1.0508e+05+57612i,-1.3704e+05-2.1776e+05i,1.2519e+05+58016i,1.0084e+05+1704.5i,-1.3511e+05-32646i
-1.2158e+05+56063i,-1.6248e+05-2.8608e+05i,1.0232e+05+94788i,96506+13828i,-1.4164e+05+14480i
-1.3781e+05+54442i,-1.8722e+05-3.531e+05i,79477+1.3087e+05i,92030+25852i,-1.4794e+05+61197i
-1.5365e+05+52753i,-2.1111e+05-4.1844e+05i,56774+1.6606e+05i,87428+37732i,-1.5395e+05+1.0727e+05i
-1.6903e+05+51002i,-2.3405e+05-4.8172e+05i,34313+2.0016e+05i,82709+49423i,-1.5964e+05+1.5247e+05i
-1.8385e+05+49193i,-2.5592e+05-5.426e+05i,12198+2.33e+05i,77887+60884i,-1.6497e+05+1.9657e+05i
-1.9802e+05+47331i,-2.7663e+05-6.0074e+05i,-9473+2.6441e+05i,72976+72077i,-1.6989e+05+2.3937e+05i
-2.1147e+05+45423i,-2.9608e+05-6.5586e+05i,-30607+2.9422e+05i,67990+82965i,-1.7439e+05+2.8066e+05i
-2.2411e+05+43474i,-3.1422e+05-7.0766e+05i,-51115+3.2231e+05i,62946+93514i,-1.7842e+05+3.2027e+05i
-2.3589e+05+41492i,-3.3096e+05-7.5592e+05i,-70918+3.4854e+05i,57862+1.037e+05i,-1.8197e+05+3.5803e+05i
-2.4673e+05+39482i,-3.4628e+05-8.0042e+05i,-89941+3.7282e+05i,52755+1.1348e+05i,-1.8499e+05+3.938e+05i
-2.5659e+05+37452i,-3.6013e+05-8.4099e+05i,-1.0812e+05+3.9505e+05i,47644+1.2285e+05i,-1.8748e+05+4.2743e+05i
-2.6542e+05+35410i,-3.7249e+05-8.7748e+05i,-1.2539e+05+4.1517e+05i,42548+1.3178e+05i,-1.8942e+05+4.5884e+05i
-2.7318e+05+33362i,-3.8336e+05-9.0981e+05i,-1.417e+05+4.3312e+05i,37488+1.4025e+05i,-1.908e+05+4.8791e+05i
-2.7985e+05+31316i,-3.9274e+05-9.3789e+05i,-1.5702e+05+4.4889e+05i,32483+1.4826e+05i,-1.9161e+05+5.1459e+05i
-2.8542e+05+29279i,-4.0066e+05-9.617e+05i,-1.713e+05+4.6244e+05i,27553+1.558e+05i,-1.9184e+05+5.3881e+05i
-2.8986e+05+27259i,-4.0714e+05-9.8124e+05i,-1.8452e+05+4.738e+05i,22716+1.6285e+05i,-1.915e+05+5.6056e+05i
-2.9318e+05+25263i,-4.1222e+05-9.9656e+05i,-1.9667e+05+4.83e+05i,17992+1.6941e+05i,-1.906e+05+5.7982e+05i
-2.9539e+05+23297i,-4.1596e+05-1.0077e+06i,-2.0772e+05+4.9006e+05i,13400+1.7548e+05i,-1.8914e+05+5.9659e+05i
-2.9649e+05+21369i,-4.1842e+05-1.0149e+06i,-2.1769e+05+4.9506e+05i,8954.8+1.8107e+05i,-1.8714e+05+6.1089e+05i
-2.9653e+05+19484i,-4.1967e+05-1.0181e+06i,-2.2658e+05+4.9808e+05i,4673.6+1.8618e+05i,-1.8462e+05+6.2278e+05i
-2.9552e+05+17649i,-4.1979e+05-1.0175e+06i,-2.3439e+05+4.9919e+05i,570.15+1.908e+05i,-1.8159e+05+6.323e+05i
-2.935e+05+15868i,-4.1886e+05-1.0135e+06i,-2.4115e+05+4.9851e+05i,-3343.2+1.9496e+05i,-1.7809e+05+6.3953e+05i
-2.9052e+05+14145i,-4.1696e+05-1.006e+06i,-2.4688e+05+4.9615e+05i,-7056.1+1.9865e+05i,-1.7413e+05+6.4455e+05i
-2.8664e+05+12485i,-4.1418e+05-9.9549e+05i,-2.5163e+05+4.9223e+05i,-10561+2.0189e+05i,-1.6975e+05+6.4746e+05i
-2.8189e+05+10891i,-4.1061e+05-9.8207e+05i,-2.5541e+05+4.8689e+05i,-13851+2.0469e+05i,-1.6498e+05+6.4838e+05i
-2.7635e+05+9364.3i,-4.0634e+05-9.6605e+05i,-2.5829e+05+4.8026e+05i,-16925+2.0706e+05i,-1.5984e+05+6.4741e+05i
-2.7008e+05+7905.9i,-4.0145e+05-9.4767e+05i,-2.6031e+05+4.7248e+05i,-19782+2.09e+05i,-1.5439e+05+6.4469e+05i
-2.6315e+05+6515.6i,-3.9604e+05-9.2723e+05i,-2.6153e+05+4.637e+05i,-22427+2.1055e+05i,-1.4865e+05+6.4035e+05i
