-6.1907e+05+92446i,-95201-1.1769e+05i,-1.3061e+06-5.6989e+05i,-1.4676e+06+5.6071e+05i,-1.1117e+05+1.2684e+06i
-6.254e+05+77959i,-83652-80117i,-1.2491e+06-5.0365e+05i,-1.3913e+06+5.3692e+05i,-1.1028e+05+1.2143e+06i
-6.3171e+05+63408i,-72041-42513i,-1.1921e+06-4.3746e+05i,-1.3149e+06+5.1291e+05i,-1.0948e+05+1.1601e+06i
-6.3773e+05+48876i,-60439-5124.2i,-1.1352e+06-3.718e+05i,-1.2386e+06+4.8841e+05i,-1.0882e+05+1.1056e+06i
-6.4322e+05+34440i,-48917+31808i,-1.0785e+06-3.0713e+05i,-1.1623e+06+4.6313e+05i,-1.0832e+05+1.0504e+06i
-6.4788e+05+20173i,-37541+68052i,-1.0221e+06-2.4388e+05i,-1.0862e+06+4.3679e+05i,-1.0799e+05+9.9441e+05i
-6.5147e+05+6143.6i,-26373+1.0339e+05i,-9.6588e+05-1.8246e+05i,-1.0103e+06+4.0907e+05i,-1.0786e+05+9.3733e+05i
-6.5369e+05-7584.6i,-15470+1.3762e+05i,-9.1e+05-1.2322e+05i,-9.3456e+05+3.7971e+05i,-1.0796e+05+8.789e+05i
-6.543e+05-20955i,-4881+1.7055e+05i,-8.544e+05-66513i,-8.5898e+05+3.484e+05i,-1.083e+05+8.1883e+05i
-6.5303e+05-33919i,5347.3+2.0201e+05i,-7.9903e+05-12619i,-7.8347e+05+3.1488e+05i,-1.089e+05+7.5684e+05i
-6.4963e+05-46431i,15176+2.3186e+05i,-7.4382e+05+38213i,-7.0794e+05+2.7889e+05i,-1.0977e+05+6.9267e+05i
-6.4387e+05-58456i,24574+2.5998e+05i,-6.8868e+05+85783i,-6.3228e+05+2.402e+05i,-1.1091e+05+6.2603e+05i
-6.3554e+05-69964i,33514+2.8625e+05i,-6.3349e+05+1.2994e+05i,-5.5633e+05+1.9859e+05i,-1.1234e+05+5.5667e+05i
-6.2444e+05-80932i,41977+3.1059e+05i,-5.7812e+05+1.7057e+05i,-4.7996e+05+1.5388e+05i,-1.1405e+05+4.8436e+05i
-6.1039e+05-91344i,49949+3.3295e+05i,-5.2244e+05+2.0763e+05i,-4.0299e+05+1.0592e+05i,-1.1603e+05+4.0886e+05i
-5.9325e+05-1.0119e+05i,57424+3.5328e+05i,-4.6628e+05+2.411e+05i,-3.2525e+05+54599i,-1.1829e+05+3.3001e+05i
-5.729e+05-1.1046e+05i,64401+3.7158e+05i,-4.0949e+05+2.7101e+05i,-2.4657e+05-157.49i,-1.208e+05+2.4764e+05i
-5.4925e+05-1.1916e+05i,70882+3.8783e+05i,-3.5191e+05+2.9743e+05i,-1.6679e+05-58384i,-1.2354e+05+1.6163e+05i
-5.2223e+05-1.2729e+05i,76878+4.0206e+05i,-2.9339e+05+3.2049e+05i,-85735-1.2007e+05i,-1.265e+05+71918i
-4.9183e+05-1.3486e+05i,82400+4.1431e+05i,-2.3377e+05+3.4032e+05i,-3272.9-1.8516e+05i,-1.2964e+05-21532i
-4.5803e+05-1.4189e+05i,87466+4.2463e+05i,-1.7293e+05+3.5711e+05i,80720-2.5357e+05i,-1.3294e+05-1.187e+05i
-4.2089e+05-1.4837e+05i,92096+4.3309e+05i,-1.1075e+05+3.7107e+05i,1.6634e+05-3.2513e+05i,-1.3636e+05-2.1951e+05i
-3.8047e+05-1.5434e+05i,96312+4.3977e+05i,-47140+3.8241e+05i,2.5366e+05-3.9967e+05i,-1.3986e+05-3.2384e+05i
-3.3689e+05-1.5979e+05i,1.0014e+05+4.4475e+05i,17983+3.914e+05i,3.427e+05-4.7695e+05i,-1.4339e+05-4.3151e+05i
-2.9027e+05-1.6476e+05i,1.036e+05+4.4814e+05i,84657+3.9828e+05i,4.3346e+05-5.567e+05i,-1.4692e+05-5.4229e+05i
-2.408e+05-1.6925e+05i,1.0673e+05+4.5002e+05i,1.529e+05+4.0333e+05i,5.2589e+05-6.3858e+05i,-1.5039e+05-6.5589e+05i
-1.8866e+05-1.7328e+05i,1.0955e+05+4.5052e+05i,2.2268e+05+4.0682e+05i,6.1992e+05-7.2226e+05i,-1.5374e+05-7.7197e+05i
-1.341e+05-1.7686e+05i,1.1208e+05+4.4973e+05i,2.9396e+05+4.0902e+05i,7.154e+05-8.0732e+05i,-1.5694e+05-8.9014e+05i
-77364-1.8e+05i,1.1436e+05+4.4777e+05i,3.6664e+05+4.102e+05i,8.1216e+05-8.9336e+05i,-1.5992e+05-1.01e+06i
-18741-1.8272e+05i,1.164e+05+4.4473e+05i,4.4061e+05+4.1062e+05i,9.0998e+05-9.799e+05i,-1.6263e+05-1.131e+06i
41468-1.8501e+05i,1.1823e+05+4.4074e+05i,5.157e+05+4.1053e+05i,1.0086e+06-1.0665e+06i,-1.6502e+05-1.2526e+06i
1.0294e+05-1.8689e+05i,1.1988e+05+4.3588e+05i,5.9173e+05+4.1017e+05i,1.1077e+06-1.1526e+06i,-1.6703e+05-1.3743e+06i
1.6534e+05-1.8836e+05i,1.2136e+05+4.3025e+05i,6.6848e+05+4.0975e+05i,1.207e+06-1.2378e+06i,-1.6861e+05-1.4956e+06i
2.2831e+05-1.8942e+05i,1.2269e+05+4.2395e+05i,7.457e+05+4.0949e+05i,1.3061e+06-1.3214e+06i,-1.6971e+05-1.6157e+06i
2.9149e+05-1.9007e+05i,1.2389e+05+4.1706e+05i,8.2311e+05+4.0956e+05i,1.4046e+06-1.403e+06i,-1.7028e+05-1.734e+06i
3.5451e+05-1.9031e+05i,1.2497e+05+4.0967e+05i,9.0041e+05+4.1012e+05i,1.502e+06-1.4821e+06i,-1.7028e+05-1.85e+06i
4.1701e+05-1.9015e+05i,1.2595e+05+4.0184e+05i,9.773e+05+4.1133e+05i,1.5979e+06-1.5581e+06i,-1.6966e+05-1.9629e+06i
4.7861e+05-1.8958e+05i,1.2684e+05+3.9366e+05i,1.0534e+06+4.133e+05i,1.6919e+06-1.6305e+06i,-1.684e+05-2.0722e+06i
5.3896e+05-1.8859e+05i,1.2766e+05+3.8518e+05i,1.1285e+06+4.1613e+05i,1.7835e+06-1.6988e+06i,-1.6645e+05-2.1772e+06i
5.9769e+05-1.8721e+05i,1.284e+05+3.7646e+05i,1.2021e+06+4.1991e+05i,1.8723e+06-1.7626e+06i,-1.638e+05-2.2772e+06i
6.5445e+05-1.8542e+05i,1.2908e+05+3.6756e+05i,1.2739e+06+4.247e+05i,1.9577e+06-1.8213e+06i,-1.6041e+05-2.3717e+06i
7.0893e+05-1.8323e+05i,1.2971e+05+3.5854e+05i,1.3436e+06+4.3055e+05i,2.0393e+06-1.8747e+06i,-1.5627e+05-2.4602e+06i
7.6079e+05-1.8066e+05i,1.303e+05+3.4943e+05i,1.4108e+06+4.3749e+05i,2.1167e+06-1.9223e+06i,-1.5138e+05-2.542e+06i
8.0976e+05-1.7771e+05i,1.3085e+05+3.4029e+05i,1.4752e+06+4.4554e+05i,2.1895e+06-1.9637e+06i,-1.4573e+05-2.6168e+06i
8.5554e+05-1.7441e+05i,1.3137e+05+3.3117e+05i,1.5366e+06+4.547e+05i,2.2573e+06-1.9987e+06i,-1.3931e+05-2.6841e+06i
8.9791e+05-1.7077e+05i,1.3188e+05+3.2211e+05i,1.5946e+06+4.6497e+05i,2.3198e+06-2.0271e+06i,-1.3215e+05-2.7435e+06i
9.3664e+05-1.6683e+05i,1.3237e+05+3.1314e+05i,1.649e+06+4.7634e+05i,2.3767e+06-2.0485e+06i,-1.2426e+05-2.7947e+06i
9.7154e+05-1.626e+05i,1.3286e+05+3.0433e+05i,1.6996e+06+4.8877e+05i,2.4277e+06-2.0629e+06i,-1.1565e+05-2.8374e+06i
1.0024e+06-1.5814e+05i,1.3336e+05+2.9571e+05i,1.7461e+06+5.0224e+05i,2.4725e+06-2.0702e+06i,-1.0635e+05-2.8715e+06i
1.0292e+06-1.5349e+05i,1.3388e+05+2.8733e+05i,1.7885e+06+5.1673e+05i,2.5112e+06-2.0703e+06i,-96406-2.8969e+06i
1.0518e+06-1.4867e+05i,1.3443e+05+2.7924e+05i,1.8266e+06+5.3218e+05i,2.5434e+06-2.0633e+06i,-85843-2.9134e+06i
1.0701e+06-1.4376e+05i,1.3501e+05+2.7149e+05i,1.8603e+06+5.4857e+05i,2.5693e+06-2.0491e+06i,-74710-2.9211e+06i
1.084e+06-1.388e+05i,1.3564e+05+2.6413e+05i,1.8895e+06+5.6585e+05i,2.5888e+06-2.0279e+06i,-63052-2.9201e+06i
1.0937e+06-1.3385e+05i,1.3632e+05+2.572e+05i,1.9143e+06+5.8398e+05i,2.6019e+06-2e+06i,-50922-2.9106e+06i
1.0991e+06-1.2896e+05i,1.3708e+05+2.5076e+05i,1.9347e+06+6.0293e+05i,2.6088e+06-1.9654e+06i,-38375-2.8927e+06i
1.1003e+06-1.2421e+05i,1.3791e+05+2.4487e+05i,1.9508e+06+6.2264e+05i,2.6097e+06-1.9245e+06i,-25469-2.8667e+06i
1.0974e+06-1.1965e+05i,1.3882e+05+2.3956e+05i,1.9626e+06+6.4309e+05i,2.6047e+06-1.8777e+06i,-12265-2.8331e+06i
1.0905e+06-1.1535e+05i,1.3982e+05+2.349e+05i,1.9704e+06+6.6422e+05i,2.5941e+06-1.8252e+06i,1175.4-2.7922e+06i
1.0798e+06-1.1136e+05i,1.4092e+05+2.3093e+05i,1.9742e+06+6.86e+05i,2.5783e+06-1.7676e+06i,14788-2.7445e+06i
1.0655e+06-1.0774e+05i,1.4212e+05+2.2768e+05i,1.9743e+06+7.0838e+05i,2.5575e+06-1.7052e+06i,28508-2.6905e+06i
1.0478e+06-1.0456e+05i,1.4343e+05+2.2521e+05i,1.9708e+06+7.3132e+05i,2.5323e+06-1.6386e+06i,42272-2.6307e+06i
1.0268e+06-1.0185e+05i,1.4484e+05+2.2355e+05i,1.9642e+06+7.5477e+05i,2.5029e+06-1.5683e+06i,56015-2.5659e+06i
1.003e+06-99671i,1.4635e+05+2.2271e+05i,1.9545e+06+7.7868e+05i,2.4699e+06-1.4949e+06i,69674-2.4966e+06i
9.7654e+05-98056i,1.4797e+05+2.2274e+05i,1.9421e+06+8.0299e+05i,2.4338e+06-1.4189e+06i,83189-2.4235e+06i
9.4771e+05-97038i,1.4968e+05+2.2364e+05i,1.9272e+06+8.2766e+05i,2.3949e+06-1.341e+06i,96499-2.3473e+06i
9.1682e+05-96642i,1.5147e+05+2.2541e+05i,1.9102e+06+8.5261e+05i,2.3539e+06-1.2619e+06i,1.0955e+05-2.2688e+06i
