-7.9535-8.4098i,-24.017-10.213i,33.727+1.4354i,-10.103-7.1121i,34.522+4.3659i
1.7187-6.793i,-26.451-10.9i,41.005-0.028306i,-3.8234-5.7881i,26.748+5.3822i
10.891-5.4369i,-28.471-11.286i,46.319-1.0853i,-0.044539-4.3668i,21.444+6.5251i
19.673-4.2049i,-30.189-11.552i,50.478-1.9421i,2.236-2.8904i,17.679+7.7247i
28.133-3.0193i,-31.689-11.807i,54.061-2.737i,3.7292-1.3904i,14.758+8.933i
36.304-1.8444i,-33.031-12.106i,57.454-3.5524i,4.9053+0.10934i,12.199+10.119i
44.191-0.67258i,-34.256-12.471i,60.886-4.4273i,6.0425+1.5904i,9.6952+11.265i
51.776+0.48667i,-35.391-12.894i,64.461-5.3681i,7.2732+3.0379i,7.0842+12.361i
59.029+1.615i,-36.45-13.355i,68.189-6.3599i,8.626+4.4396i,4.3108+13.402i
65.905+2.6911i,-37.436-13.828i,72.018-7.3749i,10.063+5.7844i,1.3962+14.387i
72.361+3.6949i,-38.347-14.283i,75.853-8.3803i,11.509+7.0622i,-1.5912+15.313i
78.35+4.6098i,-39.173-14.693i,79.581-9.3438i,12.877+8.2637i,-4.5598+16.18i
83.828+5.4239i,-39.902-15.037i,83.085-10.238i,14.089+9.3799i,-7.4148+16.982i
88.76+6.1304i,-40.52-15.298i,86.259-11.043i,15.083+10.403i,-10.072+17.714i
93.116+6.7273i,-41.01-15.466i,89.011-11.747i,15.822+11.325i,-12.466+18.37i
96.877+7.2162i,-41.359-15.537i,91.272-12.347i,16.297+12.142i,-14.558+18.94i
100.03+7.6019i,-41.551-15.511i,92.997-12.847i,16.525+12.847i,-16.332+19.413i
102.58+7.891i,-41.578-15.392i,94.163-13.258i,16.542+13.438i,-17.797+19.781i
104.53+8.0913i,-41.43-15.189i,94.766-13.593i,16.4+13.914i,-18.978+20.033i
105.89+8.2107i,-41.103-14.91i,94.82-13.869i,16.158+14.276i,-19.914+20.16i
106.68+8.2567i,-40.597-14.563i,94.35-14.1i,15.874+14.528i,-20.649+20.155i
106.94+8.236i,-39.916-14.158i,93.388-14.299i,15.601+14.672i,-21.228+20.015i
106.68+8.1543i,-39.066-13.703i,91.971-14.477i,15.38+14.717i,-21.691+19.735i
105.95+8.0162i,-38.057-13.204i,90.134-14.64i,15.238+14.671i,-22.071+19.316i
104.77+7.8253i,-36.903-12.665i,87.912-14.788i,15.187+14.541i,-22.39+18.76i
103.17+7.5848i,-35.619-12.089i,85.336-14.92i,15.222+14.34i,-22.66+18.072i
101.2+7.297i,-34.22-11.479i,82.43-15.031i,15.324+14.076i,-22.884+17.259i
98.887+6.9647i,-32.724-10.833i,79.218-15.113i,15.466+13.76i,-23.057+16.328i
96.26+6.5907i,-31.147-10.153i,75.717-15.157i,15.612+13.403i,-23.173+15.29i
93.354+6.1789i,-29.505-9.4367i,71.945-15.157i,15.724+13.014i,-23.221+14.153i
90.201+5.7339i,-27.81-8.686i,67.918-15.107i,15.768+12.6i,-23.197+12.929i
86.832+5.2615i,-26.076-7.9017i,63.655-15.004i,15.713+12.169i,-23.099+11.63i
83.279+4.7689i,-24.312-7.0867i,59.177-14.847i,15.536+11.725i,-22.934+10.265i
79.571+4.2642i,-22.526-6.2456i,54.508-14.64i,15.224+11.273i,-22.715+8.8463i
75.739+3.7563i,-20.725-5.3849i,49.676-14.391i,14.774+10.814i,-22.466+7.3852i
71.812+3.2548i,-18.912-4.5129i,44.715-14.109i,14.19+10.35i,-22.216+5.893i
67.82+2.7694i,-17.091-3.6398i,39.66-13.805i,13.481+9.8776i,-21.998+4.3814i
63.792+2.3094i,-15.264-2.7772i,34.549-13.492i,12.662+9.3969i,-21.848+2.8629i
59.755+1.8831i,-13.434-1.9379i,29.421-13.182i,11.745+8.9051i,-21.802+1.3505i
55.736+1.4977i,-11.605-1.1351i,24.315-12.885i,10.739+8.3995i,-21.891-0.14207i
51.761+1.159i,-9.7807-0.38211i,19.269-12.609i,9.6474+7.8772i,-22.139-1.6002i
47.853+0.8706i,-7.9662+0.30792i,14.315-12.358i,8.4628+7.3358i,-22.566-3.0086i
44.035+0.63468i,-6.1686+0.92279i,9.4828-12.133i,7.169+6.7735i,-23.177-4.3518i
40.326+0.45147i,-4.3968+1.4514i,4.7978-11.931i,5.739+6.1887i,-23.972-5.6142i
36.743+0.31967i,-2.6607+1.8842i,0.27915-11.744i,4.1364+5.581i,-24.941-6.7804i
33.301+0.23677i,-0.97186+2.2132i,-4.0586-11.563i,2.3172+4.9504i,-26.067-7.8363i
30.013+0.19935i,0.65745+2.432i,-8.2057-11.375i,0.23277+4.2974i,-27.33-8.769i
26.887+0.2035i,2.2146+2.5362i,-12.156-11.168i,-2.1665+3.6231i,-28.705-9.5676i
23.929+0.2452i,3.687+2.5228i,-15.906-10.929i,-4.9277+2.9288i,-30.172-10.224i
21.141+0.32067i,5.0631+2.3908i,-19.456-10.646i,-8.0915+2.2158i,-31.713-10.732i
18.522+0.42662i,6.3325+2.1402i,-22.804-10.31i,-11.689+1.4852i,-33.316-11.089i
16.068+0.56044i,7.4867+1.7726i,-25.953-9.9169i,-15.738+0.73801i,-34.974-11.296i
13.769+0.72028i,8.5195+1.2908i,-28.902-9.4635i,-20.244-0.025412i,-36.692-11.356i
11.613+0.90495i,9.4271+0.69869i,-31.653-8.952i,-25.196-0.80501i,-38.478-11.275i
9.5843+1.1138i,10.209+0.001257i,-34.207-8.3882i,-30.57-1.6012i,-40.346-11.063i
7.6631+1.3465i,10.866-0.79546i,-36.565-7.7811i,-36.326-2.4147i,-42.315-10.73i
5.8269+1.6028i,11.403-1.6843i,-38.73-7.1419i,-42.417-3.2463i,-44.402-10.289i
4.0505+1.882i,11.828-2.6571i,-40.707-6.4832i,-48.786-4.097i,-46.621-9.7519i
2.3069+2.1831i,12.148-3.7044i,-42.504-5.8181i,-55.372-4.9674i,-48.981-9.1336i
0.56817+2.5041i,12.375-4.8156i,-44.132-5.1588i,-62.112-5.8576i,-51.482-8.4476i
-1.1935+2.8422i,12.519-5.9789i,-45.606-4.5158i,-68.947-6.7668i,-54.112-7.7073i
-3.0049+3.194i,12.595-7.1813i,-46.947-3.8971i,-75.818-7.6934i,-56.849-6.9255i
-4.8903+3.555i,12.616-8.4087i,-48.176-3.3077i,-82.676-8.6348i,-59.657-6.1143i
-6.8704+3.9201i,12.593-9.6462i,-49.322-2.7495i,-89.477-9.5869i,-62.491-5.2852i
-8.9612+4.2842i,12.542-10.878i,-50.412-2.2213i,-96.184-10.545i,-65.297-4.4486i
-11.173+4.6419i,12.474-12.087i,-51.478-1.719i,-102.77-11.502i,-68.015-3.6149i
-13.509+4.9882i,12.402-13.257i,-52.548-1.237i,-109.19-12.451i,-70.585-2.7936i
-15.966+5.319i,12.337-14.372i,-53.651-0.76819i,-115.45-13.384i,-72.946-1.9943i
-18.532+5.6307i,12.291-15.413i,-54.811-0.30538i,-121.5-14.291i,-75.048-1.2265i
-21.19+5.9212i,12.273-16.366i,-56.046+0.15781i,-127.31-15.165i,-76.849-0.49949i
-23.912+6.1893i,12.294-17.214i,-57.369+0.6262i,-132.87-15.995i,-78.317+0.17736i
-26.666+6.435i,12.362-17.944i,-58.785+1.1023i,-138.12-16.773i,-79.44+0.79482i
-29.415+6.6594i,12.485-18.542i,-60.292+1.5858i,-143.02-17.489i,-80.215+1.344i
-32.118+6.8641i,12.671-18.996i,-61.878+2.0736i,-147.51-18.135i,-80.659+1.8165i
-34.729+7.0516i,12.926-19.299i,-63.528+2.5595i,-151.54-18.703i,-80.796+2.2047i
-37.204+7.2244i,13.255-19.44i,-65.216+3.035i,-155.04-19.185i,-80.663+2.5024i
-39.499+7.3849i,13.663-19.415i,-66.915+3.4896i,-157.94-19.573i,-80.302+2.7047i
-41.573+7.5354i,14.152-19.221i,-68.59+3.9117i,-160.17-19.86i,-79.753+2.8083i
-43.387+7.6776i,14.723-18.856i,-70.208+4.2893i,-161.66-20.041i,-79.058+2.8119i
-44.909+7.8128i,15.376-18.321i,-71.733+4.6113i,-162.36-20.107i,-78.248+2.7164i
-46.112+7.9413i,16.108-17.62i,-73.13+4.8677i,-162.19-20.052i,-77.347+2.5244i
-46.974+8.0631i,16.914-16.758i,-74.366+5.051i,-161.13-19.871i,-76.365+2.2405i
-47.481+8.1778i,17.788-15.743i,-75.41+5.1564i,-159.14-19.557i,-75.302+1.871i
-47.623+8.2843i,18.724-14.584i,-76.236+5.182i,-156.19-19.105i,-74.142+1.4235i
-47.395+8.3816i,19.71-13.292i,-76.819+5.1294i,-152.3-18.511i,-72.863+0.90678i
