69357+1.2129e+05i,-1.688e+05-90587i,1.7148e+05-19681i,-1.1928e+05+32068i,1.5254e+05-35269i
58485+92824i,-1.1987e+05-75853i,1.0876e+05-23561i,-89796+30377i,1.1127e+05-26846i
47526+64680i,-71404-61236i,46728-27388i,-60669+28754i,70443-18501i
36546+36969i,-23631-46770i,-14302-31126i,-32029+27194i,30282-10267i
25609+9802.7i,23224-32481i,-74026-34737i,-4005.5+25691i,-9014.4-2175.9i
14776-16715i,68948-18397i,-1.3215e+05-38187i,23278+24242i,-47250+5742.7i
4100.6-42486i,1.1334e+05-4541.8i,-1.884e+05-41439i,49703+22842i,-84240+13461i
-6365.7-67415i,1.5621e+05+9064.5i,-2.4251e+05-44461i,75163+21487i,-1.1981e+05+20955i
-16578-91418i,1.974e+05+22403i,-2.9423e+05-47221i,99554+20173i,-1.538e+05+28199i
-26497-1.1442e+05i,2.3673e+05+35456i,-3.4335e+05-49688i,1.2279e+05+18897i,-1.8607e+05+35175i
-36090-1.3634e+05i,2.7409e+05+48211i,-3.8966e+05-51835i,1.4478e+05+17654i,-2.1648e+05+41863i
-45330-1.5713e+05i,3.0934e+05+60654i,-4.3299e+05-53640i,1.6546e+05+16445i,-2.4493e+05+48250i
-54197-1.7673e+05i,3.4239e+05+72777i,-4.7318e+05-55080i,1.8477e+05+15265i,-2.7132e+05+54322i
-62675-1.951e+05i,3.7317e+05+84570i,-5.1011e+05-56138i,2.0266e+05+14114i,-2.9557e+05+60069i
-70757-2.1221e+05i,4.016e+05+96026i,-5.4369e+05-56801i,2.191e+05+12991i,-3.1763e+05+65486i
-78440-2.2803e+05i,4.2767e+05+1.0714e+05i,-5.7385e+05-57060i,2.3406e+05+11896i,-3.3747e+05+70568i
-85727-2.4255e+05i,4.5133e+05+1.1791e+05i,-6.0056e+05-56909i,2.4752e+05+10829i,-3.5505e+05+75314i
-92626-2.5576e+05i,4.7261e+05+1.2833e+05i,-6.2381e+05-56348i,2.595e+05+9790.8i,-3.7039e+05+79726i
-99149-2.6768e+05i,4.9152e+05+1.3841e+05i,-6.4362e+05-55378i,2.6999e+05+8782.6i,-3.8352e+05+83807i
-1.0531e+05-2.7831e+05i,5.081e+05+1.4813e+05i,-6.6004e+05-54009i,2.7904e+05+7805.6i,-3.9446e+05+87565i
-1.1114e+05-2.8769e+05i,5.2242e+05+1.5751e+05i,-6.7316e+05-52253i,2.8666e+05+6861.4i,-4.0328e+05+91008i
-1.1664e+05-2.9585e+05i,5.3454e+05+1.6653e+05i,-6.8309e+05-50124i,2.9291e+05+5951.7i,-4.1005e+05+94148i
-1.2185e+05-3.0283e+05i,5.4457e+05+1.7521e+05i,-6.8995e+05-47645i,2.9784e+05+5078.1i,-4.1488e+05+96996i
-1.2679e+05-3.0868e+05i,5.526e+05+1.8355e+05i,-6.939e+05-44838i,3.0152e+05+4242.2i,-4.1785e+05+99568i
-1.3149e+05-3.1346e+05i,5.5875e+05+1.9154e+05i,-6.9513e+05-41732i,3.0402e+05+3445.4i,-4.191e+05+1.0188e+05i
-1.3597e+05-3.1723e+05i,5.6316e+05+1.9919e+05i,-6.9383e+05-38358i,3.0543e+05+2688.8i,-4.1876e+05+1.0395e+05i
-1.4026e+05-3.2006e+05i,5.6596e+05+2.0651e+05i,-6.9022e+05-34749i,3.0582e+05+1973.4i,-4.1697e+05+1.0579e+05i
-1.4438e+05-3.2204e+05i,5.673e+05+2.1348e+05i,-6.8453e+05-30943i,3.0531e+05+1299.5i,-4.1388e+05+1.0743e+05i
-1.4835e+05-3.2323e+05i,5.6733e+05+2.2012e+05i,-6.7701e+05-26978i,3.0397e+05+667.14i,-4.0965e+05+1.0888e+05i
-1.5219e+05-3.2372e+05i,5.662e+05+2.2643e+05i,-6.679e+05-22895i,3.0192e+05+75.771i,-4.0444e+05+1.1017e+05i
-1.5592e+05-3.2359e+05i,5.6407e+05+2.324e+05i,-6.5746e+05-18735i,2.9925e+05-475.58i,-3.9841e+05+1.113e+05i
-1.5955e+05-3.2293e+05i,5.6108e+05+2.3804e+05i,-6.4596e+05-14542i,2.9608e+05-988.45i,-3.9173e+05+1.1231e+05i
-1.6309e+05-3.2182e+05i,5.574e+05+2.4335e+05i,-6.3365e+05-10357i,2.925e+05-1464.9i,-3.8456e+05+1.132e+05i
-1.6654e+05-3.2034e+05i,5.5317e+05+2.4833e+05i,-6.2079e+05-6223i,2.8861e+05-1907.4i,-3.7706e+05+1.14e+05i
-1.6992e+05-3.1858e+05i,5.4854e+05+2.5298e+05i,-6.0763e+05-2182.4i,2.8451e+05-2319i,-3.6939e+05+1.1472e+05i
-1.7321e+05-3.166e+05i,5.4363e+05+2.5729e+05i,-5.9442e+05+1724.6i,2.8029e+05-2703.2i,-3.6169e+05+1.1538e+05i
-1.7642e+05-3.145e+05i,5.3857e+05+2.6126e+05i,-5.8137e+05+5459.2i,2.7605e+05-3063.7i,-3.541e+05+1.1599e+05i
-1.7953e+05-3.1233e+05i,5.3348e+05+2.649e+05i,-5.687e+05+8985.1i,2.7187e+05-3404.8i,-3.4675e+05+1.1656e+05i
-1.8254e+05-3.1016e+05i,5.2847e+05+2.6821e+05i,-5.5661e+05+12268i,2.6781e+05-3730.7i,-3.3975e+05+1.171e+05i
-1.8544e+05-3.0805e+05i,5.2362e+05+2.7117e+05i,-5.4528e+05+15278i,2.6396e+05-4046.3i,-3.3322e+05+1.1763e+05i
-1.882e+05-3.0605e+05i,5.1902e+05+2.7379e+05i,-5.3487e+05+17988i,2.6038e+05-4356.1i,-3.2725e+05+1.1815e+05i
-1.9082e+05-3.042e+05i,5.1474e+05+2.7606e+05i,-5.255e+05+20373i,2.571e+05-4665.2i,-3.219e+05+1.1866e+05i
-1.9327e+05-3.0255e+05i,5.1083e+05+2.7799e+05i,-5.1729e+05+22414i,2.5419e+05-4978.2i,-3.1725e+05+1.1917e+05i
-1.9553e+05-3.0111e+05i,5.0733e+05+2.7958e+05i,-5.1033e+05+24097i,2.5166e+05-5300.1i,-3.1334e+05+1.1968e+05i
-1.9758e+05-2.9992e+05i,5.0428e+05+2.8082e+05i,-5.0468e+05+25410i,2.4955e+05-5635.5i,-3.1021e+05+1.2018e+05i
-1.9941e+05-2.9898e+05i,5.0168e+05+2.8171e+05i,-5.0037e+05+26348i,2.4788e+05-5989.2i,-3.0786e+05+1.2069e+05i
-2.0099e+05-2.983e+05i,4.9955e+05+2.8226e+05i,-4.9743e+05+26908i,2.4664e+05-6365.5i,-3.0632e+05+1.2119e+05i
-2.023e+05-2.9789e+05i,4.9787e+05+2.8247e+05i,-4.9583e+05+27094i,2.4584e+05-6768.8i,-3.0556e+05+1.2168e+05i
-2.0333e+05-2.9773e+05i,4.9662e+05+2.8234e+05i,-4.9555e+05+26913i,2.4546e+05-7203i,-3.0557e+05+1.2216e+05i
-2.0404e+05-2.9782e+05i,4.9579e+05+2.8188e+05i,-4.9653e+05+26376i,2.455e+05-7672.2i,-3.063e+05+1.2261e+05i
-2.0444e+05-2.9812e+05i,4.9532e+05+2.811e+05i,-4.9868e+05+25500i,2.4591e+05-8179.8i,-3.077e+05+1.2303e+05i
-2.0451e+05-2.9863e+05i,4.9517e+05+2.7999e+05i,-5.0192e+05+24304i,2.4668e+05-8729.4i,-3.0972e+05+1.2342e+05i
-2.0422e+05-2.993e+05i,4.9529e+05+2.7858e+05i,-5.0613e+05+22812i,2.4776e+05-9324.1i,-3.1229e+05+1.2375e+05i
-2.0358e+05-3.001e+05i,4.9561e+05+2.7687e+05i,-5.1118e+05+21049i,2.4911e+05-9966.9i,-3.1534e+05+1.2403e+05i
-2.0258e+05-3.01e+05i,4.9609e+05+2.7487e+05i,-5.1693e+05+19045i,2.5068e+05-10661i,-3.1876e+05+1.2424e+05i
-2.0121e+05-3.0196e+05i,4.9664e+05+2.726e+05i,-5.2323e+05+16832i,2.5243e+05-11408i,-3.2249e+05+1.2438e+05i
-1.9947e+05-3.0293e+05i,4.9719e+05+2.7007e+05i,-5.2993e+05+14443i,2.5429e+05-12212i,-3.2642e+05+1.2443e+05i
-1.9736e+05-3.0387e+05i,4.9769e+05+2.673e+05i,-5.3685e+05+11913i,2.5623e+05-13073i,-3.3046e+05+1.2438e+05i
-1.9489e+05-3.0473e+05i,4.9805e+05+2.6431e+05i,-5.4383e+05+9278.2i,2.5817e+05-13996i,-3.3451e+05+1.2422e+05i
-1.9206e+05-3.0549e+05i,4.9822e+05+2.6111e+05i,-5.5071e+05+6574.7i,2.6007e+05-14981i,-3.3847e+05+1.2396e+05i
-1.8888e+05-3.0608e+05i,4.9811e+05+2.5772e+05i,-5.5731e+05+3839i,2.6187e+05-16030i,-3.4226e+05+1.2357e+05i
-1.8535e+05-3.0648e+05i,4.9767e+05+2.5417e+05i,-5.6349e+05+1106.7i,2.6353e+05-17146i,-3.4577e+05+1.2305e+05i
-1.8151e+05-3.0664e+05i,4.9685e+05+2.5047e+05i,-5.6908e+05-1587.3i,2.6498e+05-18330i,-3.4892e+05+1.224e+05i
-1.7735e+05-3.0654e+05i,4.9557e+05+2.4664e+05i,-5.7394e+05-4209.6i,2.6619e+05-19582i,-3.5163e+05+1.2162e+05i
-1.7289e+05-3.0614e+05i,4.938e+05+2.4271e+05i,-5.7794e+05-6729i,2.6711e+05-20905i,-3.5383e+05+1.2069e+05i
-1.6817e+05-3.054e+05i,4.915e+05+2.387e+05i,-5.8096e+05-9116i,2.677e+05-22299i,-3.5543e+05+1.1962e+05i
-1.6319e+05-3.0432e+05i,4.8862e+05+2.3462e+05i,-5.8289e+05-11344i,2.6794e+05-23765i,-3.5639e+05+1.1841e+05i
-1.5797e+05-3.0287e+05i,4.8514e+05+2.305e+05i,-5.8363e+05-13389i,2.6778e+05-25304i,-3.5664e+05+1.1705e+05i
-1.5255e+05-3.0104e+05i,4.8103e+05+2.2636e+05i,-5.8312e+05-15231i,2.672e+05-26914i,-3.5615e+05+1.1555e+05i
-1.4694e+05-2.9881e+05i,4.7629e+05+2.2222e+05i,-5.813e+05-16852i,2.6619e+05-28596i,-3.5488e+05+1.1392e+05i
-1.4117e+05-2.9619e+05i,4.709e+05+2.1809e+05i,-5.7811e+05-18238i,2.6474e+05-30348i,-3.528e+05+1.1214e+05i
-1.3526e+05-2.9316e+05i,4.6486e+05+2.1399e+05i,-5.7354e+05-19379i,2.6283e+05-32170i,-3.4991e+05+1.1024e+05i
-1.2924e+05-2.8975e+05i,4.5817e+05+2.0993e+05i,-5.6758e+05-20268i,2.6046e+05-34058i,-3.4619e+05+1.0821e+05i
-1.2313e+05-2.8595e+05i,4.5086e+05+2.0594e+05i,-5.6024e+05-20901i,2.5764e+05-36009i,-3.4165e+05+1.0606e+05i
-1.1695e+05-2.8178e+05i,4.4293e+05+2.0201e+05i,-5.5155e+05-21279i,2.5437e+05-38020i,-3.363e+05+1.038e+05i
-1.1072e+05-2.7725e+05i,4.3442e+05+1.9815e+05i,-5.4153e+05-21405i,2.5067e+05-40087i,-3.3017e+05+1.0144e+05i
-1.0447e+05-2.7239e+05i,4.2535e+05+1.9439e+05i,-5.3026e+05-21285i,2.4655e+05-42203i,-3.2328e+05+98991i
