-10981+31447i,2072.9+21693i,874.79+63022i,17484-20388i,-47405-14709i
-23158+36601i,-46421-27561i,-18450+38802i,-56092-41489i,-16089+21800i
-35286+41778i,-94524-76731i,-37719+14521i,-1.2933e+05-62644i,14986+58243i
-47337+46986i,-1.4197e+05-1.2561e+05i,-56860-9771.7i,-2.0178e+05-83801i,45593+94464i
-59281+52228i,-1.8851e+05-1.7398e+05i,-75804-34027i,-2.7301e+05-1.0491e+05i,75509+1.3031e+05i
-71087+57509i,-2.3388e+05-2.2166e+05i,-94479-58193i,-3.426e+05-1.259e+05i,1.0452e+05+1.6564e+05i
-82724+62831i,-2.7785e+05-2.6842e+05i,-1.1282e+05-82215i,-4.1014e+05-1.4672e+05i,1.3242e+05+2.0029e+05i
-94158+68195i,-3.2018e+05-3.1409e+05i,-1.3075e+05-1.0603e+05i,-4.7525e+05-1.6731e+05i,1.5902e+05+2.3412e+05i
-1.0535e+05+73600i,-3.6067e+05-3.5848e+05i,-1.4821e+05-1.2959e+05i,-5.3756e+05-1.8761e+05i,1.8415e+05+2.6699e+05i
-1.1628e+05+79042i,-3.9911e+05-4.0141e+05i,-1.6513e+05-1.5282e+05i,-5.9675e+05-2.0755e+05i,2.0764e+05+2.9876e+05i
-1.2689e+05+84516i,-4.3532e+05-4.427e+05i,-1.8145e+05-1.7565e+05i,-6.5249e+05-2.2706e+05i,2.2936e+05+3.293e+05i
-1.3715e+05+90013i,-4.6914e+05-4.8221e+05i,-1.9712e+05-1.9803e+05i,-7.0453e+05-2.4608e+05i,2.4918e+05+3.5849e+05i
-1.4703e+05+95523i,-5.0043e+05-5.1979e+05i,-2.1207e+05-2.1987e+05i,-7.5263e+05-2.6454e+05i,2.6702e+05+3.8622e+05i
-1.5649e+05+1.0103e+05i,-5.2907e+05-5.5531e+05i,-2.2626e+05-2.411e+05i,-7.9657e+05-2.8237e+05i,2.828e+05+4.1237e+05i
-1.6549e+05+1.0652e+05i,-5.5497e+05-5.8864e+05i,-2.3964e+05-2.6166e+05i,-8.3621e+05-2.9951e+05i,2.9645e+05+4.3686e+05i
-1.7398e+05+1.1198e+05i,-5.7807e+05-6.1969e+05i,-2.5216e+05-2.8146e+05i,-8.7141e+05-3.1589e+05i,3.0796e+05+4.596e+05i
-1.8195e+05+1.1738e+05i,-5.9831e+05-6.4836e+05i,-2.6378e+05-3.0042e+05i,-9.0209e+05-3.3143e+05i,3.1732e+05+4.805e+05i
-1.8934e+05+1.2271e+05i,-6.1567e+05-6.7458e+05i,-2.7447e+05-3.1849e+05i,-9.2821e+05-3.4608e+05i,3.2453e+05+4.9952e+05i
-1.9614e+05+1.2793e+05i,-6.3016e+05-6.9829e+05i,-2.842e+05-3.3558e+05i,-9.4976e+05-3.5978e+05i,3.2964e+05+5.1659e+05i
-2.0231e+05+1.3303e+05i,-6.4181e+05-7.1944e+05i,-2.9296e+05-3.5163e+05i,-9.6677e+05-3.7247e+05i,3.3271e+05+5.3168e+05i
-2.0783e+05+1.3797e+05i,-6.5067e+05-7.3802e+05i,-3.0071e+05-3.6657e+05i,-9.793e+05-3.8409e+05i,3.3381e+05+5.4476e+05i
-2.1266e+05+1.4272e+05i,-6.5681e+05-7.5401e+05i,-3.0745e+05-3.8034e+05i,-9.8747e+05-3.946e+05i,3.3303e+05+5.5583e+05i
