name,technique,pulse_rate,ground_truth,error,selected_component
p8,jade,97.07724425887264,98.1013,1.0486901609358976,3
p3,jade,62.811565304087736,60.6061,4.86407720753482,1
p12,pca,61.28702757916241,58.8235,6.068968133293803,2
p14,fica,19.05972045743329,95.8763,5900.786892619479,1
p6,jade,73.6738703339882,92.3567,349.0481243292105,5
p3,shibbs,62.19151036525172,60.6061,2.513526026247609,1
p15,shibbs,59.25155925155926,86.3539,734.5368740445913,1
p16,jade,90.81419624217119,90.045,0.5916628589702809,5
p5,fica,30.50847457627119,90.7195,3625.3675825769164,1
p10,pca,75.3012048192771,72.0251,10.732862786890696,2
p8,fica,81.98757763975154,98.1013,259.65204830317117,1
p11,shibbs,28.409090909090907,70.4376,1766.3955764046286,2
p3,fica,14.691478942213514,60.6061,2108.15242688013,1
p17,fica,71.57676348547717,71.9125,0.11271900718393273,1
p8,shibbs,56.37982195845698,98.1013,1740.681729970956,3
p7,fica,48.83011190233977,87.2618,1476.9946500358383,1
p14,pca,56.919642857142854,95.8763,1517.6211357461227,1
p10,fica,73.5444330949949,72.0251,2.3083730535467994,5
p16,pca,75.98784194528876,90.045,197.60369257513304,2
p5,pca,58.521560574948666,90.7195,1036.7073032192748,4
p15,pca,79.10750507099392,86.3539,52.510239467124926,1
p15,jade,81.33472367049009,86.3539,25.19213102671251,5
p9,fica,62.37623762376238,57.2034,26.758249081811588,5
p11,pca,51.671732522796354,70.4376,352.15778217196964,5
p9,shibbs,65.80259222333001,57.2034,73.94610689377927,1
p5,shibbs,69.0376569037657,90.7195,470.1023200497231,1
p2,pca,68.87052341597796,76.6208,60.06678712884044,3
p8,pca,73.02231237322516,98.1013,628.9556203839252,5
p17,jade,67.2514619883041,71.9125,21.72527534647401,3
p7,shibbs,65.8307210031348,87.2618,459.29114696987654,2
p12,shibbs,71.3577799801784,58.8235,157.10817462150112,4
p4,pca,69.9029126213592,105.3719,1258.0490656661796,4
p10,shibbs,61.28702757916241,72.0251,115.3061993151527,2
p12,jade,73.6738703339882,58.8235,220.53349905659687,4
p15,fica,39.21568627450981,86.3539,2222.0111932299915,1
p2,shibbs,67.28971962616824,76.6208,87.0690609429084,2
p3,pca,62.874251497005986,60.6061,5.144511213370504,2
p12,fica,65.08264462809917,58.8235,39.17689147546272,1
p9,pca,73.02823758519962,57.2034,250.42548459794645,3
p1,shibbs,76.55954631379961,72.9685,12.89561362785376,2
p13,fica,73.84615384615385,65.9686,62.055854599053454,1
p5,jade,70.76923076923077,90.7195,398.0132423801772,3
p13,jade,97.5609756097561,65.9686,998.0781966679124,2
p4,fica,33.367037411526795,105.3719,5184.700236384908,1
p7,jade,78.33655705996131,87.2618,79.6599615387104,5
p14,jade,53.68421052631579,95.8763,1780.172414155374,1
p17,pca,58.65102639296188,71.9125,175.86668223016846,3
p6,fica,64.36233611442194,92.3567,783.6844093581576,1
p17,shibbs,65.21739130434783,71.9125,44.82448044659725,1
p16,shibbs,72.50755287009063,90.045,307.5620518343663,2
p2,fica,69.76744186046511,76.6208,46.96851778872914,4
p7,pca,34.51882845188285,87.2618,2781.8210477254947,5
p11,fica,64.81481481481481,70.4376,31.615713238738095,5
p14,shibbs,14.634146341463413,95.8763,6600.287531077269,1
p1,fica,50.847457627118644,72.9685,489.3405156628127,1
p6,shibbs,70.48008171603678,92.3567,478.5864275422341,4
p1,pca,76.92307692307693,72.9685,15.638678640532584,2
p16,fica,64.15478615071284,90.045,670.3031731618208,1
p13,shibbs,81.08108108108108,65.9686,228.38708442603374,2
p4,jade,92.44532803180914,105.3719,167.09626284881764,4
p9,jade,65.47619047619048,57.2034,68.4390622629479,3
p10,jade,61.72839506172839,72.0251,106.02213258582681,5
p1,jade,76.85269899359561,72.9685,15.0870018218491,2
p6,pca,64.02439024390245,92.3567,802.7197761154608,5
p13,pca,70.65750736015703,65.9686,21.985852232134782,4
p4,shibbs,72.95719844357977,105.3719,1050.7128769917917,3
p11,jade,74.14448669201522,70.4376,13.741008947439521,2
p2,jade,81.30841121495328,76.6208,21.973698902555753,3
